ufname;ufid;meso;citie
AC;12;Mesorregião do Vale do Juruá;Cruzeiro do Sul
AC;12;Mesorregião do Vale do Juruá;Mâncio Lima
AC;12;Mesorregião do Vale do Juruá;Marechal Thaumaturgo
AC;12;Mesorregião do Vale do Juruá;Porto Walter
AC;12;Mesorregião do Vale do Juruá;Rodrigues Alves
AC;12;Mesorregião do Vale do Juruá;Feijó
AC;12;Mesorregião do Vale do Juruá;Jordão
AC;12;Mesorregião do Vale do Juruá;Tarauacá
AC;12;Mesorregião do Vale do Acre;Manoel Urbano
AC;12;Mesorregião do Vale do Acre;Santa Rosa do Purus
AC;12;Mesorregião do Vale do Acre;Sena Madureira
AC;12;Mesorregião do Vale do Acre;Acrelândia
AC;12;Mesorregião do Vale do Acre;Bujari
AC;12;Mesorregião do Vale do Acre;Capixaba
AC;12;Mesorregião do Vale do Acre;Plácido de Castro
AC;12;Mesorregião do Vale do Acre;Porto Acre
AC;12;Mesorregião do Vale do Acre;Rio Branco
AC;12;Mesorregião do Vale do Acre;Senador Guiomard
AC;12;Mesorregião do Vale do Acre;Assis Brasil
AC;12;Mesorregião do Vale do Acre;Brasiléia
AC;12;Mesorregião do Vale do Acre;Epitaciolândia
AC;12;Mesorregião do Vale do Acre;Xapuri
