ufname;ufid;meso;citie
AM;13;Mesorregião do Norte Amazonense;Barcelos
AM;13;Mesorregião do Norte Amazonense;Novo Airão
AM;13;Mesorregião do Norte Amazonense;Santa Isabel do Rio Negro
AM;13;Mesorregião do Norte Amazonense;São Gabriel da Cachoeira
AM;13;Mesorregião do Norte Amazonense;Japurá
AM;13;Mesorregião do Norte Amazonense;Maraã
AM;13;Mesorregião do Sudoeste Amazonense;Amaturá
AM;13;Mesorregião do Sudoeste Amazonense;Atalaia do Norte
AM;13;Mesorregião do Sudoeste Amazonense;Benjamin Constant
AM;13;Mesorregião do Sudoeste Amazonense;Fonte Boa
AM;13;Mesorregião do Sudoeste Amazonense;Jutaí
AM;13;Mesorregião do Sudoeste Amazonense;Santo Antônio do Içá
AM;13;Mesorregião do Sudoeste Amazonense;São Paulo de Olivença
AM;13;Mesorregião do Sudoeste Amazonense;Tabatinga
AM;13;Mesorregião do Sudoeste Amazonense;Tonantins
AM;13;Mesorregião do Sudoeste Amazonense;Carauari
AM;13;Mesorregião do Sudoeste Amazonense;Eirunepé
AM;13;Mesorregião do Sudoeste Amazonense;Envira
AM;13;Mesorregião do Sudoeste Amazonense;Guajará
AM;13;Mesorregião do Sudoeste Amazonense;Ipixuna
AM;13;Mesorregião do Sudoeste Amazonense;Itamarati
AM;13;Mesorregião do Sudoeste Amazonense;Juruá
AM;13;Mesorregião do Centro Amazonense;Alvarães
AM;13;Mesorregião do Centro Amazonense;Tefé
AM;13;Mesorregião do Centro Amazonense;Uarini
AM;13;Mesorregião do Centro Amazonense;Anamã
AM;13;Mesorregião do Centro Amazonense;Anori
AM;13;Mesorregião do Centro Amazonense;Beruri
AM;13;Mesorregião do Centro Amazonense;Caapiranga
AM;13;Mesorregião do Centro Amazonense;Coari
AM;13;Mesorregião do Centro Amazonense;Codajás
AM;13;Mesorregião do Centro Amazonense;Autazes
AM;13;Mesorregião do Centro Amazonense;Careiro
AM;13;Mesorregião do Centro Amazonense;Careiro da Várzea
AM;13;Mesorregião do Centro Amazonense;Iranduba
AM;13;Mesorregião do Centro Amazonense;Manacapuru
AM;13;Mesorregião do Centro Amazonense;Manaquiri
AM;13;Mesorregião do Centro Amazonense;Manaus
AM;13;Mesorregião do Centro Amazonense;Presidente Figueiredo
AM;13;Mesorregião do Centro Amazonense;Rio Preto da Eva
AM;13;Mesorregião do Centro Amazonense;Itacoatiara
AM;13;Mesorregião do Centro Amazonense;Itapiranga
AM;13;Mesorregião do Centro Amazonense;Nova Olinda do Norte
AM;13;Mesorregião do Centro Amazonense;Silves
AM;13;Mesorregião do Centro Amazonense;Urucurituba
AM;13;Mesorregião do Centro Amazonense;Barreirinha
AM;13;Mesorregião do Centro Amazonense;Boa Vista do Ramos
AM;13;Mesorregião do Centro Amazonense;Maués
AM;13;Mesorregião do Centro Amazonense;Nhamundá
AM;13;Mesorregião do Centro Amazonense;Parintins
AM;13;Mesorregião do Centro Amazonense;São Sebastião do Uatumã
AM;13;Mesorregião do Centro Amazonense;Urucará
AM;13;Mesorregião do Sul Amazonense;Boca do Acre
AM;13;Mesorregião do Sul Amazonense;Pauini
AM;13;Mesorregião do Sul Amazonense;Canutama
AM;13;Mesorregião do Sul Amazonense;Lábrea
AM;13;Mesorregião do Sul Amazonense;Tapauá
AM;13;Mesorregião do Sul Amazonense;Apuí
AM;13;Mesorregião do Sul Amazonense;Borba
AM;13;Mesorregião do Sul Amazonense;Humaitá
AM;13;Mesorregião do Sul Amazonense;Manicoré
AM;13;Mesorregião do Sul Amazonense;Novo Aripuanã
