ufname;ufid;meso;citie
AP;16;Mesorregião do Norte do Amapá;Calçoene
AP;16;Mesorregião do Norte do Amapá;Oiapoque
AP;16;Mesorregião do Norte do Amapá;Amapá
AP;16;Mesorregião do Norte do Amapá;Pracuúba
AP;16;Mesorregião do Norte do Amapá;Tartarugalzinho
AP;16;Mesorregião do Sul do Amapá;Cutias
AP;16;Mesorregião do Sul do Amapá;Ferreira Gomes
AP;16;Mesorregião do Sul do Amapá;Itaubal
AP;16;Mesorregião do Sul do Amapá;Macapá
AP;16;Mesorregião do Sul do Amapá;Pedra Branca do Amapari
AP;16;Mesorregião do Sul do Amapá;Porto Grande
AP;16;Mesorregião do Sul do Amapá;Santana
AP;16;Mesorregião do Sul do Amapá;Serra do Navio
AP;16;Mesorregião do Sul do Amapá;Laranjal do Jari
AP;16;Mesorregião do Sul do Amapá;Mazagão
AP;16;Mesorregião do Sul do Amapá;Vitória do Jari
