ufname;ufid;meso;citie
BA;29;Mesorregião do Extremo Oeste Baiano;Baianópolis
BA;29;Mesorregião do Extremo Oeste Baiano;Barreiras
BA;29;Mesorregião do Extremo Oeste Baiano;Catolândia
BA;29;Mesorregião do Extremo Oeste Baiano;Formosa do Rio Preto
BA;29;Mesorregião do Extremo Oeste Baiano;Luís Eduardo Magalhães
BA;29;Mesorregião do Extremo Oeste Baiano;Riachão das Neves
BA;29;Mesorregião do Extremo Oeste Baiano;São Desidério
BA;29;Mesorregião do Extremo Oeste Baiano;Angical
BA;29;Mesorregião do Extremo Oeste Baiano;Brejolândia
BA;29;Mesorregião do Extremo Oeste Baiano;Cotegipe
BA;29;Mesorregião do Extremo Oeste Baiano;Cristópolis
BA;29;Mesorregião do Extremo Oeste Baiano;Mansidão
BA;29;Mesorregião do Extremo Oeste Baiano;Santa Rita de Cássia
BA;29;Mesorregião do Extremo Oeste Baiano;Tabocas do Brejo Velho
BA;29;Mesorregião do Extremo Oeste Baiano;Wanderley
BA;29;Mesorregião do Extremo Oeste Baiano;Canápolis
BA;29;Mesorregião do Extremo Oeste Baiano;Cocos
BA;29;Mesorregião do Extremo Oeste Baiano;Coribe
BA;29;Mesorregião do Extremo Oeste Baiano;Correntina
BA;29;Mesorregião do Extremo Oeste Baiano;Jaborandi
BA;29;Mesorregião do Extremo Oeste Baiano;Santa Maria da Vitória
BA;29;Mesorregião do Extremo Oeste Baiano;Santana
BA;29;Mesorregião do Extremo Oeste Baiano;São Félix do Coribe
BA;29;Mesorregião do Extremo Oeste Baiano;Serra Dourada
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Campo Alegre de Lourdes
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Casa Nova
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Curaçá
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Juazeiro
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Pilão Arcado
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Remanso
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Sento Sé
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Sobradinho
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Abaré
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Chorrochó
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Glória
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Macururé
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Paulo Afonso
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Rodelas
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Barra
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Buritirama
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Ibotirama
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Itaguaçu da Bahia
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Morpará
BA;29;Mesorregião do Vale São-Franciscano da Bahia;Muquém do São Francisco
