ufname;ufid;meso;citie
CE;23;Mesorregião do Noroeste Cearense;Acaraú
CE;23;Mesorregião do Noroeste Cearense;Barroquinha
CE;23;Mesorregião do Noroeste Cearense;Bela Cruz
CE;23;Mesorregião do Noroeste Cearense;Camocim
CE;23;Mesorregião do Noroeste Cearense;Chaval
CE;23;Mesorregião do Noroeste Cearense;Cruz
CE;23;Mesorregião do Noroeste Cearense;Granja
CE;23;Mesorregião do Noroeste Cearense;Itarema
CE;23;Mesorregião do Noroeste Cearense;Jijoca de Jericoacoara
CE;23;Mesorregião do Noroeste Cearense;Marco
CE;23;Mesorregião do Noroeste Cearense;Martinópole
CE;23;Mesorregião do Noroeste Cearense;Morrinhos
CE;23;Mesorregião do Noroeste Cearense;Carnaubal
CE;23;Mesorregião do Noroeste Cearense;Croatá
CE;23;Mesorregião do Noroeste Cearense;Guaraciaba do Norte
CE;23;Mesorregião do Noroeste Cearense;Ibiapina
CE;23;Mesorregião do Noroeste Cearense;São Benedito
CE;23;Mesorregião do Noroeste Cearense;Tianguá
CE;23;Mesorregião do Noroeste Cearense;Ubajara
CE;23;Mesorregião do Noroeste Cearense;Viçosa do Ceará
CE;23;Mesorregião do Noroeste Cearense;Coreaú
CE;23;Mesorregião do Noroeste Cearense;Frecheirinha
CE;23;Mesorregião do Noroeste Cearense;Moraújo
CE;23;Mesorregião do Noroeste Cearense;Uruoca
CE;23;Mesorregião do Noroeste Cearense;Alcântaras
CE;23;Mesorregião do Noroeste Cearense;Meruoca
CE;23;Mesorregião do Noroeste Cearense;Cariré
CE;23;Mesorregião do Noroeste Cearense;Forquilha
CE;23;Mesorregião do Noroeste Cearense;Graça
CE;23;Mesorregião do Noroeste Cearense;Groaíras
CE;23;Mesorregião do Noroeste Cearense;Irauçuba
CE;23;Mesorregião do Noroeste Cearense;Massapê
CE;23;Mesorregião do Noroeste Cearense;Miraíma
CE;23;Mesorregião do Noroeste Cearense;Mucambo
CE;23;Mesorregião do Noroeste Cearense;Pacujá
CE;23;Mesorregião do Noroeste Cearense;Santana do Acaraú
CE;23;Mesorregião do Noroeste Cearense;Senador Sá
CE;23;Mesorregião do Noroeste Cearense;Sobral
CE;23;Mesorregião do Noroeste Cearense;Ipu
CE;23;Mesorregião do Noroeste Cearense;Ipueiras
CE;23;Mesorregião do Noroeste Cearense;Pires Ferreira
CE;23;Mesorregião do Noroeste Cearense;Poranga
CE;23;Mesorregião do Noroeste Cearense;Reriutaba
CE;23;Mesorregião do Noroeste Cearense;Varjota
CE;23;Mesorregião do Noroeste Cearense;Catunda
CE;23;Mesorregião do Noroeste Cearense;Hidrolândia
CE;23;Mesorregião do Noroeste Cearense;Santa Quitéria
CE;23;Mesorregião do Norte Cearense;Amontada
CE;23;Mesorregião do Norte Cearense;Itapipoca
CE;23;Mesorregião do Norte Cearense;Trairi
CE;23;Mesorregião do Norte Cearense;Paracuru
CE;23;Mesorregião do Norte Cearense;Paraipaba
CE;23;Mesorregião do Norte Cearense;São Gonçalo do Amarante
CE;23;Mesorregião do Norte Cearense;Itapajé
CE;23;Mesorregião do Norte Cearense;Tururu
CE;23;Mesorregião do Norte Cearense;Umirim
CE;23;Mesorregião do Norte Cearense;Uruburetama
CE;23;Mesorregião do Norte Cearense;Apuiarés
CE;23;Mesorregião do Norte Cearense;General Sampaio
CE;23;Mesorregião do Norte Cearense;Pentecoste
CE;23;Mesorregião do Norte Cearense;São Luís do Curu
CE;23;Mesorregião do Norte Cearense;Tejuçuoca
CE;23;Mesorregião do Norte Cearense;Canindé
CE;23;Mesorregião do Norte Cearense;Caridade
CE;23;Mesorregião do Norte Cearense;Itatira
CE;23;Mesorregião do Norte Cearense;Paramoti
CE;23;Mesorregião do Norte Cearense;Acarape
CE;23;Mesorregião do Norte Cearense;Aracoiaba
CE;23;Mesorregião do Norte Cearense;Aratuba
CE;23;Mesorregião do Norte Cearense;Baturité
CE;23;Mesorregião do Norte Cearense;Capistrano
CE;23;Mesorregião do Norte Cearense;Guaramiranga
CE;23;Mesorregião do Norte Cearense;Itapiúna
CE;23;Mesorregião do Norte Cearense;Mulungu
CE;23;Mesorregião do Norte Cearense;Pacoti
CE;23;Mesorregião do Norte Cearense;Palmácia
CE;23;Mesorregião do Norte Cearense;Redenção
CE;23;Mesorregião do Norte Cearense;Barreira
CE;23;Mesorregião do Norte Cearense;Chorozinho
CE;23;Mesorregião do Norte Cearense;Ocara
CE;23;Mesorregião do Norte Cearense;Beberibe
CE;23;Mesorregião do Norte Cearense;Cascavel
CE;23;Mesorregião do Norte Cearense;Pindoretama
CE;23;Mesorregião Metropolitana de Fortaleza;Aquiraz
CE;23;Mesorregião Metropolitana de Fortaleza;Caucaia
CE;23;Mesorregião Metropolitana de Fortaleza;Eusébio
CE;23;Mesorregião Metropolitana de Fortaleza;Fortaleza
CE;23;Mesorregião Metropolitana de Fortaleza;Guaiúba
CE;23;Mesorregião Metropolitana de Fortaleza;Itaitinga
CE;23;Mesorregião Metropolitana de Fortaleza;Maracanaú
CE;23;Mesorregião Metropolitana de Fortaleza;Maranguape
CE;23;Mesorregião Metropolitana de Fortaleza;Pacatuba
CE;23;Mesorregião Metropolitana de Fortaleza;Horizonte
CE;23;Mesorregião Metropolitana de Fortaleza;Pacajus
CE;23;Mesorregião dos Sertões Cearenses;Ararendá
CE;23;Mesorregião dos Sertões Cearenses;Crateús
CE;23;Mesorregião dos Sertões Cearenses;Independência
CE;23;Mesorregião dos Sertões Cearenses;Ipaporanga
CE;23;Mesorregião dos Sertões Cearenses;Monsenhor Tabosa
CE;23;Mesorregião dos Sertões Cearenses;Nova Russas
CE;23;Mesorregião dos Sertões Cearenses;Novo Oriente
CE;23;Mesorregião dos Sertões Cearenses;Quiterianópolis
CE;23;Mesorregião dos Sertões Cearenses;Tamboril
CE;23;Mesorregião dos Sertões Cearenses;Banabuiú
CE;23;Mesorregião dos Sertões Cearenses;Boa Viagem
CE;23;Mesorregião dos Sertões Cearenses;Choró
CE;23;Mesorregião dos Sertões Cearenses;Ibaretama
CE;23;Mesorregião dos Sertões Cearenses;Madalena
CE;23;Mesorregião dos Sertões Cearenses;Quixadá
CE;23;Mesorregião dos Sertões Cearenses;Quixeramobim
CE;23;Mesorregião dos Sertões Cearenses;Aiuaba
CE;23;Mesorregião dos Sertões Cearenses;Arneiroz
CE;23;Mesorregião dos Sertões Cearenses;Catarina
CE;23;Mesorregião dos Sertões Cearenses;Parambu
CE;23;Mesorregião dos Sertões Cearenses;Saboeiro
CE;23;Mesorregião dos Sertões Cearenses;Tauá
CE;23;Mesorregião dos Sertões Cearenses;Acopiara
CE;23;Mesorregião dos Sertões Cearenses;Deputado Irapuan Pinheiro
CE;23;Mesorregião dos Sertões Cearenses;Milhã
CE;23;Mesorregião dos Sertões Cearenses;Mombaça
CE;23;Mesorregião dos Sertões Cearenses;Pedra Branca
CE;23;Mesorregião dos Sertões Cearenses;Piquet Carneiro
CE;23;Mesorregião dos Sertões Cearenses;Senador Pompeu
CE;23;Mesorregião dos Sertões Cearenses;Solonópole
CE;23;Mesorregião do Jaguaribe;Aracati
CE;23;Mesorregião do Jaguaribe;Fortim
CE;23;Mesorregião do Jaguaribe;Icapuí
CE;23;Mesorregião do Jaguaribe;Itaiçaba
CE;23;Mesorregião do Jaguaribe;Alto Santo
CE;23;Mesorregião do Jaguaribe;Ibicuitinga
CE;23;Mesorregião do Jaguaribe;Jaguaruana
CE;23;Mesorregião do Jaguaribe;Limoeiro do Norte
CE;23;Mesorregião do Jaguaribe;Morada Nova
CE;23;Mesorregião do Jaguaribe;Palhano
CE;23;Mesorregião do Jaguaribe;Quixeré
CE;23;Mesorregião do Jaguaribe;Russas
CE;23;Mesorregião do Jaguaribe;São João do Jaguaribe
CE;23;Mesorregião do Jaguaribe;Tabuleiro do Norte
CE;23;Mesorregião do Jaguaribe;Jaguaretama
CE;23;Mesorregião do Jaguaribe;Jaguaribara
CE;23;Mesorregião do Jaguaribe;Jaguaribe
CE;23;Mesorregião do Jaguaribe;Ereré
CE;23;Mesorregião do Jaguaribe;Iracema
CE;23;Mesorregião do Jaguaribe;Pereiro
CE;23;Mesorregião do Jaguaribe;Potiretama
CE;23;Mesorregião do Centro-Sul Cearense;Cedro
CE;23;Mesorregião do Centro-Sul Cearense;Icó
CE;23;Mesorregião do Centro-Sul Cearense;Iguatu
CE;23;Mesorregião do Centro-Sul Cearense;Orós
CE;23;Mesorregião do Centro-Sul Cearense;Quixelô
CE;23;Mesorregião do Centro-Sul Cearense;Antonina do Norte
CE;23;Mesorregião do Centro-Sul Cearense;Cariús
CE;23;Mesorregião do Centro-Sul Cearense;Jucás
CE;23;Mesorregião do Centro-Sul Cearense;Tarrafas
CE;23;Mesorregião do Centro-Sul Cearense;Várzea Alegre
CE;23;Mesorregião do Centro-Sul Cearense;Baixio
CE;23;Mesorregião do Centro-Sul Cearense;Ipaumirim
CE;23;Mesorregião do Centro-Sul Cearense;Lavras da Mangabeira
CE;23;Mesorregião do Centro-Sul Cearense;Umari
CE;23;Mesorregião do Sul Cearense;Araripe
CE;23;Mesorregião do Sul Cearense;Assaré
CE;23;Mesorregião do Sul Cearense;Campos Sales
CE;23;Mesorregião do Sul Cearense;Potengi
CE;23;Mesorregião do Sul Cearense;Salitre
CE;23;Mesorregião do Sul Cearense;Altaneira
CE;23;Mesorregião do Sul Cearense;Caririaçu
CE;23;Mesorregião do Sul Cearense;Farias Brito
CE;23;Mesorregião do Sul Cearense;Granjeiro
CE;23;Mesorregião do Sul Cearense;Aurora
CE;23;Mesorregião do Sul Cearense;Barro
CE;23;Mesorregião do Sul Cearense;Mauriti
CE;23;Mesorregião do Sul Cearense;Barbalha
CE;23;Mesorregião do Sul Cearense;Crato
CE;23;Mesorregião do Sul Cearense;Jardim
CE;23;Mesorregião do Sul Cearense;Juazeiro do Norte
CE;23;Mesorregião do Sul Cearense;Missão Velha
CE;23;Mesorregião do Sul Cearense;Nova Olinda
CE;23;Mesorregião do Sul Cearense;Porteiras
CE;23;Mesorregião do Sul Cearense;Santana do Cariri
CE;23;Mesorregião do Sul Cearense;Abaiara
CE;23;Mesorregião do Sul Cearense;Brejo Santo
CE;23;Mesorregião do Sul Cearense;Jati
CE;23;Mesorregião do Sul Cearense;Milagres
CE;23;Mesorregião do Sul Cearense;Penaforte
