ufname;ufid;meso;citie
ES;32;Mesorregião do Noroeste Espírito-Santense;Água Doce do Norte
ES;32;Mesorregião do Noroeste Espírito-Santense;Barra de São Francisco
ES;32;Mesorregião do Noroeste Espírito-Santense;Ecoporanga
ES;32;Mesorregião do Noroeste Espírito-Santense;Mantenópolis
ES;32;Mesorregião do Noroeste Espírito-Santense;Águia Branca
ES;32;Mesorregião do Noroeste Espírito-Santense;Boa Esperança
ES;32;Mesorregião do Noroeste Espírito-Santense;Nova Venécia
ES;32;Mesorregião do Noroeste Espírito-Santense;São Gabriel da Palha
ES;32;Mesorregião do Noroeste Espírito-Santense;Vila Pavão
ES;32;Mesorregião do Noroeste Espírito-Santense;Vila Valério
ES;32;Mesorregião do Noroeste Espírito-Santense;Alto Rio Novo
ES;32;Mesorregião do Noroeste Espírito-Santense;Baixo Guandu
ES;32;Mesorregião do Noroeste Espírito-Santense;Colatina
ES;32;Mesorregião do Noroeste Espírito-Santense;Governador Lindenberg
ES;32;Mesorregião do Noroeste Espírito-Santense;Marilândia
ES;32;Mesorregião do Noroeste Espírito-Santense;Pancas
ES;32;Mesorregião do Noroeste Espírito-Santense;São Domingos do Norte
ES;32;Mesorregião do Litoral Norte Espírito-Santense;Montanha
ES;32;Mesorregião do Litoral Norte Espírito-Santense;Mucurici
ES;32;Mesorregião do Litoral Norte Espírito-Santense;Pinheiros
ES;32;Mesorregião do Litoral Norte Espírito-Santense;Ponto Belo
ES;32;Mesorregião do Litoral Norte Espírito-Santense;Conceição da Barra
ES;32;Mesorregião do Litoral Norte Espírito-Santense;Jaguaré
ES;32;Mesorregião do Litoral Norte Espírito-Santense;Pedro Canário
ES;32;Mesorregião do Litoral Norte Espírito-Santense;São Mateus
ES;32;Mesorregião do Litoral Norte Espírito-Santense;Aracruz
ES;32;Mesorregião do Litoral Norte Espírito-Santense;Fundão
ES;32;Mesorregião do Litoral Norte Espírito-Santense;Ibiraçu
ES;32;Mesorregião do Litoral Norte Espírito-Santense;João Neiva
ES;32;Mesorregião do Litoral Norte Espírito-Santense;Linhares
ES;32;Mesorregião do Litoral Norte Espírito-Santense;Rio Bananal
ES;32;Mesorregião do Litoral Norte Espírito-Santense;Sooretama
ES;32;Mesorregião Central Espírito-Santense;Afonso Cláudio
ES;32;Mesorregião Central Espírito-Santense;Brejetuba
ES;32;Mesorregião Central Espírito-Santense;Conceição do Castelo
ES;32;Mesorregião Central Espírito-Santense;Domingos Martins
ES;32;Mesorregião Central Espírito-Santense;Laranja da Terra
ES;32;Mesorregião Central Espírito-Santense;Marechal Floriano
ES;32;Mesorregião Central Espírito-Santense;Venda Nova do Imigrante
ES;32;Mesorregião Central Espírito-Santense;Itaguaçu
ES;32;Mesorregião Central Espírito-Santense;Itarana
ES;32;Mesorregião Central Espírito-Santense;Santa Leopoldina
ES;32;Mesorregião Central Espírito-Santense;Santa Maria de Jetibá
ES;32;Mesorregião Central Espírito-Santense;Santa Teresa
ES;32;Mesorregião Central Espírito-Santense;São Roque do Canaã
ES;32;Mesorregião Central Espírito-Santense;Cariacica
ES;32;Mesorregião Central Espírito-Santense;Serra
ES;32;Mesorregião Central Espírito-Santense;Viana
ES;32;Mesorregião Central Espírito-Santense;Vila Velha
ES;32;Mesorregião Central Espírito-Santense;Vitória
ES;32;Mesorregião Central Espírito-Santense;Alfredo Chaves
ES;32;Mesorregião Central Espírito-Santense;Anchieta
ES;32;Mesorregião Central Espírito-Santense;Guarapari
ES;32;Mesorregião Central Espírito-Santense;Iconha
ES;32;Mesorregião Central Espírito-Santense;Piúma
ES;32;Mesorregião Central Espírito-Santense;Rio Novo do Sul
ES;32;Mesorregião do Sul Espírito-Santense;Alegre
ES;32;Mesorregião do Sul Espírito-Santense;Divino de São Lourenço
ES;32;Mesorregião do Sul Espírito-Santense;Dores do Rio Preto
ES;32;Mesorregião do Sul Espírito-Santense;Guaçuí
ES;32;Mesorregião do Sul Espírito-Santense;Ibatiba
ES;32;Mesorregião do Sul Espírito-Santense;Ibitirama
ES;32;Mesorregião do Sul Espírito-Santense;Irupi
ES;32;Mesorregião do Sul Espírito-Santense;Iúna
ES;32;Mesorregião do Sul Espírito-Santense;Muniz Freire
ES;32;Mesorregião do Sul Espírito-Santense;Apiacá
ES;32;Mesorregião do Sul Espírito-Santense;Atílio Vivácqua
ES;32;Mesorregião do Sul Espírito-Santense;Bom Jesus do Norte
ES;32;Mesorregião do Sul Espírito-Santense;Cachoeiro de Itapemirim
ES;32;Mesorregião do Sul Espírito-Santense;Castelo
ES;32;Mesorregião do Sul Espírito-Santense;Jerônimo Monteiro
ES;32;Mesorregião do Sul Espírito-Santense;Mimoso do Sul
ES;32;Mesorregião do Sul Espírito-Santense;Muqui
ES;32;Mesorregião do Sul Espírito-Santense;São José do Calçado
ES;32;Mesorregião do Sul Espírito-Santense;Vargem Alta
ES;32;Mesorregião do Sul Espírito-Santense;Itapemirim
ES;32;Mesorregião do Sul Espírito-Santense;Marataízes
ES;32;Mesorregião do Sul Espírito-Santense;Presidente Kennedy
