ufname;ufid;meso;citie
GO;52;Mesorregião do Noroeste Goiano;Crixás
GO;52;Mesorregião do Noroeste Goiano;Mozarlândia
GO;52;Mesorregião do Noroeste Goiano;Mundo Novo
GO;52;Mesorregião do Noroeste Goiano;Nova Crixás
GO;52;Mesorregião do Noroeste Goiano;Novo Planalto
GO;52;Mesorregião do Noroeste Goiano;São Miguel do Araguaia
GO;52;Mesorregião do Noroeste Goiano;Uirapuru
GO;52;Mesorregião do Noroeste Goiano;Araguapaz
GO;52;Mesorregião do Noroeste Goiano;Aruanã
GO;52;Mesorregião do Noroeste Goiano;Britânia
GO;52;Mesorregião do Noroeste Goiano;Faina
GO;52;Mesorregião do Noroeste Goiano;Goiás
GO;52;Mesorregião do Noroeste Goiano;Itapirapuã
GO;52;Mesorregião do Noroeste Goiano;Jussara
GO;52;Mesorregião do Noroeste Goiano;Matrinchã
GO;52;Mesorregião do Noroeste Goiano;Santa Fé de Goiás
GO;52;Mesorregião do Noroeste Goiano;Aragarças
GO;52;Mesorregião do Noroeste Goiano;Arenópolis
GO;52;Mesorregião do Noroeste Goiano;Baliza
GO;52;Mesorregião do Noroeste Goiano;Bom Jardim de Goiás
GO;52;Mesorregião do Noroeste Goiano;Diorama
GO;52;Mesorregião do Noroeste Goiano;Montes Claros de Goiás
GO;52;Mesorregião do Noroeste Goiano;Piranhas
GO;52;Mesorregião do Norte Goiano;Alto Horizonte
GO;52;Mesorregião do Norte Goiano;Amaralina
GO;52;Mesorregião do Norte Goiano;Bonópolis
GO;52;Mesorregião do Norte Goiano;Campinaçu
GO;52;Mesorregião do Norte Goiano;Campinorte
GO;52;Mesorregião do Norte Goiano;Campos Verdes
GO;52;Mesorregião do Norte Goiano;Estrela do Norte
GO;52;Mesorregião do Norte Goiano;Formoso
GO;52;Mesorregião do Norte Goiano;Mara Rosa
GO;52;Mesorregião do Norte Goiano;Minaçu
GO;52;Mesorregião do Norte Goiano;Montividiu do Norte
GO;52;Mesorregião do Norte Goiano;Mutunópolis
GO;52;Mesorregião do Norte Goiano;Niquelândia
GO;52;Mesorregião do Norte Goiano;Nova Iguaçu de Goiás
