ufname;ufid;meso;citie
MA;21;Mesorregião do Norte Maranhense;Alcântara
MA;21;Mesorregião do Norte Maranhense;Apicum-Açu
MA;21;Mesorregião do Norte Maranhense;Bacuri
MA;21;Mesorregião do Norte Maranhense;Bacurituba
MA;21;Mesorregião do Norte Maranhense;Bequimão
MA;21;Mesorregião do Norte Maranhense;Cajapió
MA;21;Mesorregião do Norte Maranhense;Cedral
MA;21;Mesorregião do Norte Maranhense;Central do Maranhão
MA;21;Mesorregião do Norte Maranhense;Cururupu
MA;21;Mesorregião do Norte Maranhense;Guimarães
MA;21;Mesorregião do Norte Maranhense;Mirinzal
MA;21;Mesorregião do Norte Maranhense;Porto Rico do Maranhão
MA;21;Mesorregião do Norte Maranhense;Serrano do Maranhão
MA;21;Mesorregião do Norte Maranhense;Paço do Lumiar
MA;21;Mesorregião do Norte Maranhense;Raposa
MA;21;Mesorregião do Norte Maranhense;São José de Ribamar
MA;21;Mesorregião do Norte Maranhense;São Luís
MA;21;Mesorregião do Norte Maranhense;Axixá
MA;21;Mesorregião do Norte Maranhense;Bacabeira
MA;21;Mesorregião do Norte Maranhense;Cachoeira Grande
MA;21;Mesorregião do Norte Maranhense;Icatu
MA;21;Mesorregião do Norte Maranhense;Morros
MA;21;Mesorregião do Norte Maranhense;Presidente Juscelino
MA;21;Mesorregião do Norte Maranhense;Rosário
MA;21;Mesorregião do Norte Maranhense;Santa Rita
MA;21;Mesorregião do Norte Maranhense;Barreirinhas
MA;21;Mesorregião do Norte Maranhense;Humberto de Campos
MA;21;Mesorregião do Norte Maranhense;Paulino Neves
MA;21;Mesorregião do Norte Maranhense;Primeira Cruz
MA;21;Mesorregião do Norte Maranhense;Santo Amaro do Maranhão
MA;21;Mesorregião do Norte Maranhense;Tutóia
MA;21;Mesorregião do Norte Maranhense;Anajatuba
MA;21;Mesorregião do Norte Maranhense;Arari
MA;21;Mesorregião do Norte Maranhense;Bela Vista do Maranhão
MA;21;Mesorregião do Norte Maranhense;Cajari
MA;21;Mesorregião do Norte Maranhense;Conceição do Lago Açu
MA;21;Mesorregião do Norte Maranhense;Igarapé do Meio
MA;21;Mesorregião do Norte Maranhense;Matinha
MA;21;Mesorregião do Norte Maranhense;Monção
MA;21;Mesorregião do Norte Maranhense;Olinda Nova do Maranhão
MA;21;Mesorregião do Norte Maranhense;Palmeirândia
MA;21;Mesorregião do Norte Maranhense;Pedro do Rosário
MA;21;Mesorregião do Norte Maranhense;Penalva
MA;21;Mesorregião do Norte Maranhense;Peri Mirim
MA;21;Mesorregião do Norte Maranhense;Pinheiro
MA;21;Mesorregião do Norte Maranhense;Presidente Sarney
MA;21;Mesorregião do Norte Maranhense;Santa Helena
MA;21;Mesorregião do Norte Maranhense;São Bento
MA;21;Mesorregião do Norte Maranhense;São João Batista
MA;21;Mesorregião do Norte Maranhense;São Vicente Ferrer
MA;21;Mesorregião do Norte Maranhense;Viana
MA;21;Mesorregião do Norte Maranhense;Vitória do Mearim
MA;21;Mesorregião do Norte Maranhense;Cantanhede
MA;21;Mesorregião do Norte Maranhense;Itapecuru-Mirim
MA;21;Mesorregião do Norte Maranhense;Matões do Norte
MA;21;Mesorregião do Norte Maranhense;Miranda do Norte
MA;21;Mesorregião do Norte Maranhense;Nina Rodrigues
MA;21;Mesorregião do Norte Maranhense;Pirapemas
