ufname;ufid;meso;citie
MG;31;Mesorregião do Noroeste de Minas;Arinos
MG;31;Mesorregião do Noroeste de Minas;Bonfinópolis de Minas
MG;31;Mesorregião do Noroeste de Minas;Buritis
MG;31;Mesorregião do Noroeste de Minas;Cabeceira Grande
MG;31;Mesorregião do Noroeste de Minas;Dom Bosco
MG;31;Mesorregião do Noroeste de Minas;Formoso
MG;31;Mesorregião do Noroeste de Minas;Natalândia
MG;31;Mesorregião do Noroeste de Minas;Unaí
MG;31;Mesorregião do Noroeste de Minas;Uruana de Minas
MG;31;Mesorregião do Noroeste de Minas;Brasilândia de Minas
MG;31;Mesorregião do Noroeste de Minas;Guarda-Mor
MG;31;Mesorregião do Noroeste de Minas;João Pinheiro
MG;31;Mesorregião do Noroeste de Minas;Lagamar
MG;31;Mesorregião do Noroeste de Minas;Lagoa Grande
MG;31;Mesorregião do Noroeste de Minas;Paracatu
MG;31;Mesorregião do Noroeste de Minas;Presidente Olegário
MG;31;Mesorregião do Noroeste de Minas;São Gonçalo do Abaeté
MG;31;Mesorregião do Noroeste de Minas;Varjão de Minas
MG;31;Mesorregião do Noroeste de Minas;Vazante
MG;31;Mesorregião do Norte de Minas;Bonito de Minas
MG;31;Mesorregião do Norte de Minas;Chapada Gaúcha
MG;31;Mesorregião do Norte de Minas;Cônego Marinho
MG;31;Mesorregião do Norte de Minas;Icaraí de Minas
MG;31;Mesorregião do Norte de Minas;Itacarambi
MG;31;Mesorregião do Norte de Minas;Januária
MG;31;Mesorregião do Norte de Minas;Juvenília
MG;31;Mesorregião do Norte de Minas;Manga
MG;31;Mesorregião do Norte de Minas;Matias Cardoso
MG;31;Mesorregião do Norte de Minas;Miravânia
MG;31;Mesorregião do Norte de Minas;Montalvânia
MG;31;Mesorregião do Norte de Minas;Pedras de Maria da Cruz
MG;31;Mesorregião do Norte de Minas;Pintópolis
MG;31;Mesorregião do Norte de Minas;São Francisco
MG;31;Mesorregião do Norte de Minas;São João das Missões
MG;31;Mesorregião do Norte de Minas;Urucuia
MG;31;Mesorregião do Norte de Minas;Catuti
MG;31;Mesorregião do Norte de Minas;Espinosa
MG;31;Mesorregião do Norte de Minas;Gameleiras
MG;31;Mesorregião do Norte de Minas;Jaíba
MG;31;Mesorregião do Norte de Minas;Janaúba
MG;31;Mesorregião do Norte de Minas;Mamonas
MG;31;Mesorregião do Norte de Minas;Mato Verde
MG;31;Mesorregião do Norte de Minas;Monte Azul
MG;31;Mesorregião do Norte de Minas;Nova Porteirinha
MG;31;Mesorregião do Norte de Minas;Pai Pedro
MG;31;Mesorregião do Norte de Minas;Porteirinha
MG;31;Mesorregião do Norte de Minas;Riacho dos Machados
MG;31;Mesorregião do Norte de Minas;Serranópolis de Minas
MG;31;Mesorregião do Norte de Minas;Águas Vermelhas
MG;31;Mesorregião do Norte de Minas;Berizal
MG;31;Mesorregião do Norte de Minas;Curral de Dentro
MG;31;Mesorregião do Norte de Minas;Divisa Alegre
MG;31;Mesorregião do Norte de Minas;Fruta de Leite
MG;31;Mesorregião do Norte de Minas;Indaiabira
MG;31;Mesorregião do Norte de Minas;Montezuma
MG;31;Mesorregião do Norte de Minas;Ninheira
MG;31;Mesorregião do Norte de Minas;Novorizonte
MG;31;Mesorregião do Norte de Minas;Rio Pardo de Minas
MG;31;Mesorregião do Norte de Minas;Rubelita
MG;31;Mesorregião do Norte de Minas;Salinas
MG;31;Mesorregião do Norte de Minas;Santa Cruz de Salinas
MG;31;Mesorregião do Norte de Minas;Santo Antônio do Retiro
MG;31;Mesorregião do Norte de Minas;São João do Paraíso
MG;31;Mesorregião do Norte de Minas;Taiobeiras
MG;31;Mesorregião do Norte de Minas;Vargem Grande do Rio Pardo
MG;31;Mesorregião do Norte de Minas;Buritizeiro
MG;31;Mesorregião do Norte de Minas;Ibiaí
MG;31;Mesorregião do Norte de Minas;Jequitaí
MG;31;Mesorregião do Norte de Minas;Lagoa dos Patos
MG;31;Mesorregião do Norte de Minas;Lassance
MG;31;Mesorregião do Norte de Minas;Pirapora
MG;31;Mesorregião do Norte de Minas;Riachinho
MG;31;Mesorregião do Norte de Minas;Santa Fé de Minas
MG;31;Mesorregião do Norte de Minas;São Romão
MG;31;Mesorregião do Norte de Minas;Várzea da Palma
MG;31;Mesorregião do Norte de Minas;Brasília de Minas
MG;31;Mesorregião do Norte de Minas;Campo Azul
MG;31;Mesorregião do Norte de Minas;Capitão Enéas
MG;31;Mesorregião do Norte de Minas;Claro dos Poções
MG;31;Mesorregião do Norte de Minas;Coração de Jesus
MG;31;Mesorregião do Norte de Minas;Francisco Sá
MG;31;Mesorregião do Norte de Minas;Glaucilândia
