ufname;ufid;meso;citie
MS;50;Mesorregião dos Pantanais de Mato Grosso do Sul;Corumbá
MS;50;Mesorregião dos Pantanais de Mato Grosso do Sul;Ladário
MS;50;Mesorregião dos Pantanais de Mato Grosso do Sul;Porto Murtinho
MS;50;Mesorregião dos Pantanais de Mato Grosso do Sul;Anastácio
MS;50;Mesorregião dos Pantanais de Mato Grosso do Sul;Aquidauana
MS;50;Mesorregião dos Pantanais de Mato Grosso do Sul;Dois Irmãos do Buriti
MS;50;Mesorregião dos Pantanais de Mato Grosso do Sul;Miranda
MS;50;Mesorregião do Centro-Norte de Mato Grosso do Sul;Alcinópolis
MS;50;Mesorregião do Centro-Norte de Mato Grosso do Sul;Camapuã
MS;50;Mesorregião do Centro-Norte de Mato Grosso do Sul;Coxim
MS;50;Mesorregião do Centro-Norte de Mato Grosso do Sul;Figueirão
MS;50;Mesorregião do Centro-Norte de Mato Grosso do Sul;Pedro Gomes
MS;50;Mesorregião do Centro-Norte de Mato Grosso do Sul;Rio Verde de Mato Grosso
MS;50;Mesorregião do Centro-Norte de Mato Grosso do Sul;São Gabriel do Oeste
MS;50;Mesorregião do Centro-Norte de Mato Grosso do Sul;Sonora
MS;50;Mesorregião do Centro-Norte de Mato Grosso do Sul;Bandeirantes
MS;50;Mesorregião do Centro-Norte de Mato Grosso do Sul;Campo Grande
MS;50;Mesorregião do Centro-Norte de Mato Grosso do Sul;Corguinho
MS;50;Mesorregião do Centro-Norte de Mato Grosso do Sul;Jaraguari
MS;50;Mesorregião do Centro-Norte de Mato Grosso do Sul;Rio Negro
MS;50;Mesorregião do Centro-Norte de Mato Grosso do Sul;Rochedo
MS;50;Mesorregião do Centro-Norte de Mato Grosso do Sul;Sidrolândia
MS;50;Mesorregião do Centro-Norte de Mato Grosso do Sul;Terenos
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Cassilândia
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Chapadão do Sul
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Costa Rica
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Paraíso das Águas
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Aparecida do Taboado
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Inocência
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Paranaíba
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Selvíria
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Água Clara
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Brasilândia
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Ribas do Rio Pardo
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Santa Rita do Pardo
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Três Lagoas
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Anaurilândia
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Bataguassu
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Batayporã
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Nova Andradina
MS;50;Mesorregião do Leste de Mato Grosso do Sul;Taquarussu
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Bela Vista
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Bodoquena
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Bonito
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Caracol
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Guia Lopes da Laguna
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Jardim
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Nioaque
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Amambai
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Antônio João
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Aral Moreira
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Caarapó
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Douradina
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Dourados
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Fátima do Sul
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Itaporã
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Juti
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Laguna Carapã
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Maracaju
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Nova Alvorada do Sul
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Ponta Porã
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Rio Brilhante
MS;50;Mesorregião do Sudoeste de Mato Grosso do Sul;Vicentina
