ufname;ufid;meso;citie
MT;51;Mesorregião do Norte Mato-Grossense;Aripuanã
MT;51;Mesorregião do Norte Mato-Grossense;Brasnorte
MT;51;Mesorregião do Norte Mato-Grossense;Castanheira
MT;51;Mesorregião do Norte Mato-Grossense;Colniza
MT;51;Mesorregião do Norte Mato-Grossense;Cotriguaçu
MT;51;Mesorregião do Norte Mato-Grossense;Juína
MT;51;Mesorregião do Norte Mato-Grossense;Juruena
MT;51;Mesorregião do Norte Mato-Grossense;Rondolândia
MT;51;Mesorregião do Norte Mato-Grossense;Alta Floresta
MT;51;Mesorregião do Norte Mato-Grossense;Apiacás
MT;51;Mesorregião do Norte Mato-Grossense;Carlinda
MT;51;Mesorregião do Norte Mato-Grossense;Nova Bandeirantes
MT;51;Mesorregião do Norte Mato-Grossense;Nova Monte Verde
MT;51;Mesorregião do Norte Mato-Grossense;Paranaíta
MT;51;Mesorregião do Norte Mato-Grossense;Colíder
MT;51;Mesorregião do Norte Mato-Grossense;Guarantã do Norte
MT;51;Mesorregião do Norte Mato-Grossense;Matupá
MT;51;Mesorregião do Norte Mato-Grossense;Nova Canaã do Norte
MT;51;Mesorregião do Norte Mato-Grossense;Nova Guarita
MT;51;Mesorregião do Norte Mato-Grossense;Novo Mundo
MT;51;Mesorregião do Norte Mato-Grossense;Peixoto de Azevedo
MT;51;Mesorregião do Norte Mato-Grossense;Terra Nova do Norte
MT;51;Mesorregião do Norte Mato-Grossense;Campo Novo do Parecis
MT;51;Mesorregião do Norte Mato-Grossense;Campos de Júlio
MT;51;Mesorregião do Norte Mato-Grossense;Comodoro
MT;51;Mesorregião do Norte Mato-Grossense;Diamantino
MT;51;Mesorregião do Norte Mato-Grossense;Sapezal
MT;51;Mesorregião do Norte Mato-Grossense;Juara
MT;51;Mesorregião do Norte Mato-Grossense;Nova Maringá
MT;51;Mesorregião do Norte Mato-Grossense;Novo Horizonte do Norte
MT;51;Mesorregião do Norte Mato-Grossense;Porto dos Gaúchos
MT;51;Mesorregião do Norte Mato-Grossense;São José do Rio Claro
MT;51;Mesorregião do Norte Mato-Grossense;Tabaporã
MT;51;Mesorregião do Norte Mato-Grossense;Ipiranga do Norte
MT;51;Mesorregião do Norte Mato-Grossense;Itanhangá
MT;51;Mesorregião do Norte Mato-Grossense;Lucas do Rio Verde
MT;51;Mesorregião do Norte Mato-Grossense;Nobres
MT;51;Mesorregião do Norte Mato-Grossense;Nova Mutum
MT;51;Mesorregião do Norte Mato-Grossense;Nova Ubiratã
MT;51;Mesorregião do Norte Mato-Grossense;Santa Rita do Trivelato
MT;51;Mesorregião do Norte Mato-Grossense;Sorriso
MT;51;Mesorregião do Norte Mato-Grossense;Tapurah
MT;51;Mesorregião do Norte Mato-Grossense;Cláudia
MT;51;Mesorregião do Norte Mato-Grossense;Feliz Natal
MT;51;Mesorregião do Norte Mato-Grossense;Itaúba
MT;51;Mesorregião do Norte Mato-Grossense;Marcelândia
MT;51;Mesorregião do Norte Mato-Grossense;Nova Santa Helena
MT;51;Mesorregião do Norte Mato-Grossense;Santa Carmem
MT;51;Mesorregião do Norte Mato-Grossense;Sinop
MT;51;Mesorregião do Norte Mato-Grossense;União do Sul
MT;51;Mesorregião do Norte Mato-Grossense;Vera
MT;51;Mesorregião do Norte Mato-Grossense;Gaúcha do Norte
MT;51;Mesorregião do Norte Mato-Grossense;Nova Brasilândia
MT;51;Mesorregião do Norte Mato-Grossense;Paranatinga
MT;51;Mesorregião do Norte Mato-Grossense;Planalto da Serra
MT;51;Mesorregião do Nordeste Mato-Grossense;Alto Boa Vista
MT;51;Mesorregião do Nordeste Mato-Grossense;Bom Jesus do Araguaia
MT;51;Mesorregião do Nordeste Mato-Grossense;Canabrava do Norte
MT;51;Mesorregião do Nordeste Mato-Grossense;Confresa
MT;51;Mesorregião do Nordeste Mato-Grossense;Luciara
MT;51;Mesorregião do Nordeste Mato-Grossense;Novo Santo Antônio
MT;51;Mesorregião do Nordeste Mato-Grossense;Porto Alegre do Norte
MT;51;Mesorregião do Nordeste Mato-Grossense;Ribeirão Cascalheira
MT;51;Mesorregião do Nordeste Mato-Grossense;Santa Cruz do Xingu
MT;51;Mesorregião do Nordeste Mato-Grossense;Santa Terezinha
MT;51;Mesorregião do Nordeste Mato-Grossense;São Félix do Araguaia
MT;51;Mesorregião do Nordeste Mato-Grossense;São José do Xingu
MT;51;Mesorregião do Nordeste Mato-Grossense;Serra Nova Dourada
