ufname;ufid;meso;citie
PA;15;Mesorregião do Baixo Amazonas;Faro
PA;15;Mesorregião do Baixo Amazonas;Juruti
PA;15;Mesorregião do Baixo Amazonas;Óbidos
PA;15;Mesorregião do Baixo Amazonas;Oriximiná
PA;15;Mesorregião do Baixo Amazonas;Terra Santa
PA;15;Mesorregião do Baixo Amazonas;Alenquer
PA;15;Mesorregião do Baixo Amazonas;Belterra
PA;15;Mesorregião do Baixo Amazonas;Curuá
PA;15;Mesorregião do Baixo Amazonas;Mojuí dos Campos
PA;15;Mesorregião do Baixo Amazonas;Monte Alegre
PA;15;Mesorregião do Baixo Amazonas;Placas
PA;15;Mesorregião do Baixo Amazonas;Prainha
PA;15;Mesorregião do Baixo Amazonas;Santarém
PA;15;Mesorregião do Baixo Amazonas;Almeirim
PA;15;Mesorregião do Baixo Amazonas;Porto de Moz
PA;15;Mesorregião do Marajó;Bagre
PA;15;Mesorregião do Marajó;Gurupá
PA;15;Mesorregião do Marajó;Melgaço
PA;15;Mesorregião do Marajó;Portel
PA;15;Mesorregião do Marajó;Afuá
PA;15;Mesorregião do Marajó;Anajás
PA;15;Mesorregião do Marajó;Breves
PA;15;Mesorregião do Marajó;Curralinho
PA;15;Mesorregião do Marajó;São Sebastião da Boa Vista
PA;15;Mesorregião do Marajó;Cachoeira do Arari
PA;15;Mesorregião do Marajó;Chaves
PA;15;Mesorregião do Marajó;Muaná
PA;15;Mesorregião do Marajó;Ponta de Pedras
PA;15;Mesorregião do Marajó;Salvaterra
PA;15;Mesorregião do Marajó;Santa Cruz do Arari
PA;15;Mesorregião do Marajó;Soure
PA;15;Mesorregião Metropolitana de Belém;Ananindeua
PA;15;Mesorregião Metropolitana de Belém;Barcarena
PA;15;Mesorregião Metropolitana de Belém;Belém
PA;15;Mesorregião Metropolitana de Belém;Benevides
PA;15;Mesorregião Metropolitana de Belém;Marituba
PA;15;Mesorregião Metropolitana de Belém;Santa Bárbara do Pará
PA;15;Mesorregião Metropolitana de Belém;Bujaru
PA;15;Mesorregião Metropolitana de Belém;Castanhal
PA;15;Mesorregião Metropolitana de Belém;Inhangapi
PA;15;Mesorregião Metropolitana de Belém;Santa Izabel do Pará
PA;15;Mesorregião Metropolitana de Belém;Santo Antônio do Tauá
PA;15;Mesorregião do Nordeste Paraense;Colares
PA;15;Mesorregião do Nordeste Paraense;Curuçá
PA;15;Mesorregião do Nordeste Paraense;Magalhães Barata
PA;15;Mesorregião do Nordeste Paraense;Maracanã
PA;15;Mesorregião do Nordeste Paraense;Marapanim
PA;15;Mesorregião do Nordeste Paraense;Salinópolis
PA;15;Mesorregião do Nordeste Paraense;São Caetano de Odivelas
PA;15;Mesorregião do Nordeste Paraense;São João da Ponta
PA;15;Mesorregião do Nordeste Paraense;São João de Pirabas
PA;15;Mesorregião do Nordeste Paraense;Terra Alta
PA;15;Mesorregião do Nordeste Paraense;Vigia
PA;15;Mesorregião do Nordeste Paraense;Augusto Corrêa
PA;15;Mesorregião do Nordeste Paraense;Bonito
PA;15;Mesorregião do Nordeste Paraense;Bragança
PA;15;Mesorregião do Nordeste Paraense;Capanema
PA;15;Mesorregião do Nordeste Paraense;Igarapé-Açu
PA;15;Mesorregião do Nordeste Paraense;Nova Timboteua
PA;15;Mesorregião do Nordeste Paraense;Peixe-Boi
PA;15;Mesorregião do Nordeste Paraense;Primavera
PA;15;Mesorregião do Nordeste Paraense;Quatipuru
PA;15;Mesorregião do Nordeste Paraense;Santa Maria do Pará
PA;15;Mesorregião do Nordeste Paraense;Santarém Novo
PA;15;Mesorregião do Nordeste Paraense;São Francisco do Pará
PA;15;Mesorregião do Nordeste Paraense;Tracuateua
PA;15;Mesorregião do Nordeste Paraense;Abaetetuba
PA;15;Mesorregião do Nordeste Paraense;Baião
PA;15;Mesorregião do Nordeste Paraense;Cametá
PA;15;Mesorregião do Nordeste Paraense;Igarapé-Miri
PA;15;Mesorregião do Nordeste Paraense;Limoeiro do Ajuru
PA;15;Mesorregião do Nordeste Paraense;Mocajuba
PA;15;Mesorregião do Nordeste Paraense;Oeiras do Pará
PA;15;Mesorregião do Nordeste Paraense;Acará
PA;15;Mesorregião do Nordeste Paraense;Concórdia do Pará
PA;15;Mesorregião do Nordeste Paraense;Moju
PA;15;Mesorregião do Nordeste Paraense;Tailândia
PA;15;Mesorregião do Nordeste Paraense;Tomé-Açu
PA;15;Mesorregião do Nordeste Paraense;Aurora do Pará
PA;15;Mesorregião do Nordeste Paraense;Cachoeira do Piriá
PA;15;Mesorregião do Nordeste Paraense;Capitão Poço
PA;15;Mesorregião do Nordeste Paraense;Garrafão do Norte
PA;15;Mesorregião do Nordeste Paraense;Ipixuna do Pará
PA;15;Mesorregião do Nordeste Paraense;Irituia
PA;15;Mesorregião do Nordeste Paraense;Mãe do Rio
PA;15;Mesorregião do Nordeste Paraense;Nova Esperança do Piriá
PA;15;Mesorregião do Nordeste Paraense;Ourém
