ufname;ufid;meso;citie
PB;25;Mesorregião do Sertão Paraibano;Belém do Brejo do Cruz
PB;25;Mesorregião do Sertão Paraibano;Bom Sucesso
PB;25;Mesorregião do Sertão Paraibano;Brejo do Cruz
PB;25;Mesorregião do Sertão Paraibano;Brejo dos Santos
PB;25;Mesorregião do Sertão Paraibano;Catolé do Rocha
PB;25;Mesorregião do Sertão Paraibano;Jericó
PB;25;Mesorregião do Sertão Paraibano;Lagoa
PB;25;Mesorregião do Sertão Paraibano;Mato Grosso
PB;25;Mesorregião do Sertão Paraibano;Riacho dos Cavalos
PB;25;Mesorregião do Sertão Paraibano;São Bento
PB;25;Mesorregião do Sertão Paraibano;São José do Brejo do Cruz
PB;25;Mesorregião do Sertão Paraibano;Bernardino Batista
PB;25;Mesorregião do Sertão Paraibano;Bom Jesus
PB;25;Mesorregião do Sertão Paraibano;Bonito de Santa Fé
PB;25;Mesorregião do Sertão Paraibano;Cachoeira dos Índios
PB;25;Mesorregião do Sertão Paraibano;Cajazeiras
PB;25;Mesorregião do Sertão Paraibano;Carrapateira
PB;25;Mesorregião do Sertão Paraibano;Joca Claudino
PB;25;Mesorregião do Sertão Paraibano;Monte Horebe
PB;25;Mesorregião do Sertão Paraibano;Poço Dantas
PB;25;Mesorregião do Sertão Paraibano;Poço de José de Moura
PB;25;Mesorregião do Sertão Paraibano;Santa Helena
PB;25;Mesorregião do Sertão Paraibano;São João do Rio do Peixe
PB;25;Mesorregião do Sertão Paraibano;São José de Piranhas
PB;25;Mesorregião do Sertão Paraibano;Triunfo
PB;25;Mesorregião do Sertão Paraibano;Uiraúna
PB;25;Mesorregião do Sertão Paraibano;Aparecida
PB;25;Mesorregião do Sertão Paraibano;Cajazeirinhas
PB;25;Mesorregião do Sertão Paraibano;Condado
PB;25;Mesorregião do Sertão Paraibano;Lastro
PB;25;Mesorregião do Sertão Paraibano;Malta
PB;25;Mesorregião do Sertão Paraibano;Marizópolis
PB;25;Mesorregião do Sertão Paraibano;Nazarezinho
PB;25;Mesorregião do Sertão Paraibano;Paulista
PB;25;Mesorregião do Sertão Paraibano;Pombal
PB;25;Mesorregião do Sertão Paraibano;Santa Cruz
PB;25;Mesorregião do Sertão Paraibano;São Bentinho
PB;25;Mesorregião do Sertão Paraibano;São Domingos
PB;25;Mesorregião do Sertão Paraibano;São Francisco
PB;25;Mesorregião do Sertão Paraibano;São José da Lagoa Tapada
PB;25;Mesorregião do Sertão Paraibano;Sousa
PB;25;Mesorregião do Sertão Paraibano;Vieirópolis
PB;25;Mesorregião do Sertão Paraibano;Vista Serrana
PB;25;Mesorregião do Sertão Paraibano;Areia de Baraúnas
PB;25;Mesorregião do Sertão Paraibano;Cacimba de Areia
PB;25;Mesorregião do Sertão Paraibano;Mãe d'Água
PB;25;Mesorregião do Sertão Paraibano;Passagem
PB;25;Mesorregião do Sertão Paraibano;Patos
PB;25;Mesorregião do Sertão Paraibano;Quixaba
PB;25;Mesorregião do Sertão Paraibano;Santa Terezinha
PB;25;Mesorregião do Sertão Paraibano;São José de Espinharas
PB;25;Mesorregião do Sertão Paraibano;São José do Bonfim
PB;25;Mesorregião do Sertão Paraibano;Aguiar
PB;25;Mesorregião do Sertão Paraibano;Catingueira
PB;25;Mesorregião do Sertão Paraibano;Coremas
PB;25;Mesorregião do Sertão Paraibano;Emas
PB;25;Mesorregião do Sertão Paraibano;Igaracy
PB;25;Mesorregião do Sertão Paraibano;Nova Olinda
