ufname;ufid;meso;citie
PE;26;Mesorregião do Sertão Pernambucano;Araripina
PE;26;Mesorregião do Sertão Pernambucano;Bodocó
PE;26;Mesorregião do Sertão Pernambucano;Exu
PE;26;Mesorregião do Sertão Pernambucano;Granito
PE;26;Mesorregião do Sertão Pernambucano;Ipubi
PE;26;Mesorregião do Sertão Pernambucano;Moreilândia
PE;26;Mesorregião do Sertão Pernambucano;Ouricuri
PE;26;Mesorregião do Sertão Pernambucano;Santa Cruz
PE;26;Mesorregião do Sertão Pernambucano;Santa Filomena
PE;26;Mesorregião do Sertão Pernambucano;Trindade
PE;26;Mesorregião do Sertão Pernambucano;Cedro
PE;26;Mesorregião do Sertão Pernambucano;Mirandiba
PE;26;Mesorregião do Sertão Pernambucano;Parnamirim
PE;26;Mesorregião do Sertão Pernambucano;Salgueiro
PE;26;Mesorregião do Sertão Pernambucano;São José do Belmonte
PE;26;Mesorregião do Sertão Pernambucano;Serrita
PE;26;Mesorregião do Sertão Pernambucano;Verdejante
PE;26;Mesorregião do Sertão Pernambucano;Afogados da Ingazeira
PE;26;Mesorregião do Sertão Pernambucano;Brejinho
PE;26;Mesorregião do Sertão Pernambucano;Calumbi
PE;26;Mesorregião do Sertão Pernambucano;Carnaíba
PE;26;Mesorregião do Sertão Pernambucano;Flores
PE;26;Mesorregião do Sertão Pernambucano;Iguaracy
PE;26;Mesorregião do Sertão Pernambucano;Ingazeira
PE;26;Mesorregião do Sertão Pernambucano;Itapetim
PE;26;Mesorregião do Sertão Pernambucano;Quixaba
PE;26;Mesorregião do Sertão Pernambucano;Santa Cruz da Baixa Verde
PE;26;Mesorregião do Sertão Pernambucano;Santa Terezinha
PE;26;Mesorregião do Sertão Pernambucano;São José do Egito
PE;26;Mesorregião do Sertão Pernambucano;Serra Talhada
PE;26;Mesorregião do Sertão Pernambucano;Solidão
PE;26;Mesorregião do Sertão Pernambucano;Tabira
PE;26;Mesorregião do Sertão Pernambucano;Triunfo
PE;26;Mesorregião do Sertão Pernambucano;Tuparetama
PE;26;Mesorregião do Sertão Pernambucano;Arcoverde
PE;26;Mesorregião do Sertão Pernambucano;Betânia
PE;26;Mesorregião do Sertão Pernambucano;Custódia
PE;26;Mesorregião do Sertão Pernambucano;Ibimirim
PE;26;Mesorregião do Sertão Pernambucano;Inajá
PE;26;Mesorregião do Sertão Pernambucano;Manari
PE;26;Mesorregião do Sertão Pernambucano;Sertânia
PE;26;Mesorregião do São Francisco Pernambucano;Afrânio
PE;26;Mesorregião do São Francisco Pernambucano;Cabrobó
PE;26;Mesorregião do São Francisco Pernambucano;Dormentes
PE;26;Mesorregião do São Francisco Pernambucano;Lagoa Grande
PE;26;Mesorregião do São Francisco Pernambucano;Orocó
PE;26;Mesorregião do São Francisco Pernambucano;Petrolina
PE;26;Mesorregião do São Francisco Pernambucano;Santa Maria da Boa Vista
PE;26;Mesorregião do São Francisco Pernambucano;Terra Nova
PE;26;Mesorregião do São Francisco Pernambucano;Belém do São Francisco
PE;26;Mesorregião do São Francisco Pernambucano;Carnaubeira da Penha
PE;26;Mesorregião do São Francisco Pernambucano;Floresta
PE;26;Mesorregião do São Francisco Pernambucano;Itacuruba
PE;26;Mesorregião do São Francisco Pernambucano;Jatobá
PE;26;Mesorregião do São Francisco Pernambucano;Petrolândia
PE;26;Mesorregião do São Francisco Pernambucano;Tacaratu
PE;26;Mesorregião do Agreste Pernambucano;Águas Belas
PE;26;Mesorregião do Agreste Pernambucano;Buíque
PE;26;Mesorregião do Agreste Pernambucano;Itaíba
PE;26;Mesorregião do Agreste Pernambucano;Pedra
PE;26;Mesorregião do Agreste Pernambucano;Tupanatinga
PE;26;Mesorregião do Agreste Pernambucano;Venturosa
PE;26;Mesorregião do Agreste Pernambucano;Alagoinha
PE;26;Mesorregião do Agreste Pernambucano;Belo Jardim
PE;26;Mesorregião do Agreste Pernambucano;Bezerros
PE;26;Mesorregião do Agreste Pernambucano;Brejo da Madre de Deus
PE;26;Mesorregião do Agreste Pernambucano;Cachoeirinha
PE;26;Mesorregião do Agreste Pernambucano;Capoeiras
PE;26;Mesorregião do Agreste Pernambucano;Caruaru
PE;26;Mesorregião do Agreste Pernambucano;Gravatá
PE;26;Mesorregião do Agreste Pernambucano;Jataúba
PE;26;Mesorregião do Agreste Pernambucano;Pesqueira
PE;26;Mesorregião do Agreste Pernambucano;Poção
PE;26;Mesorregião do Agreste Pernambucano;Riacho das Almas
PE;26;Mesorregião do Agreste Pernambucano;Sanharó
PE;26;Mesorregião do Agreste Pernambucano;São Bento do Una
PE;26;Mesorregião do Agreste Pernambucano;São Caetano
PE;26;Mesorregião do Agreste Pernambucano;Tacaimbó
PE;26;Mesorregião do Agreste Pernambucano;Casinhas
PE;26;Mesorregião do Agreste Pernambucano;Frei Miguelinho
PE;26;Mesorregião do Agreste Pernambucano;Santa Cruz do Capibaribe
PE;26;Mesorregião do Agreste Pernambucano;Santa Maria do Cambucá
PE;26;Mesorregião do Agreste Pernambucano;Surubim
PE;26;Mesorregião do Agreste Pernambucano;Taquaritinga do Norte
PE;26;Mesorregião do Agreste Pernambucano;Toritama
PE;26;Mesorregião do Agreste Pernambucano;Vertente do Lério
PE;26;Mesorregião do Agreste Pernambucano;Vertentes
PE;26;Mesorregião do Agreste Pernambucano;Bom Jardim
PE;26;Mesorregião do Agreste Pernambucano;Cumaru
PE;26;Mesorregião do Agreste Pernambucano;Feira Nova
PE;26;Mesorregião do Agreste Pernambucano;João Alfredo
PE;26;Mesorregião do Agreste Pernambucano;Limoeiro
PE;26;Mesorregião do Agreste Pernambucano;Machados
PE;26;Mesorregião do Agreste Pernambucano;Orobó
PE;26;Mesorregião do Agreste Pernambucano;Passira
PE;26;Mesorregião do Agreste Pernambucano;Salgadinho
PE;26;Mesorregião do Agreste Pernambucano;São Vicente Férrer
PE;26;Mesorregião do Agreste Pernambucano;Angelim
PE;26;Mesorregião do Agreste Pernambucano;Bom Conselho
PE;26;Mesorregião do Agreste Pernambucano;Brejão
PE;26;Mesorregião do Agreste Pernambucano;Caetés
PE;26;Mesorregião do Agreste Pernambucano;Calçado
PE;26;Mesorregião do Agreste Pernambucano;Canhotinho
PE;26;Mesorregião do Agreste Pernambucano;Correntes
PE;26;Mesorregião do Agreste Pernambucano;Garanhuns
PE;26;Mesorregião do Agreste Pernambucano;Iati
PE;26;Mesorregião do Agreste Pernambucano;Jucati
PE;26;Mesorregião do Agreste Pernambucano;Jupi
PE;26;Mesorregião do Agreste Pernambucano;Jurema
PE;26;Mesorregião do Agreste Pernambucano;Lagoa do Ouro
PE;26;Mesorregião do Agreste Pernambucano;Lajedo
PE;26;Mesorregião do Agreste Pernambucano;Palmeirina
PE;26;Mesorregião do Agreste Pernambucano;Paranatama
PE;26;Mesorregião do Agreste Pernambucano;Saloá
PE;26;Mesorregião do Agreste Pernambucano;São João
PE;26;Mesorregião do Agreste Pernambucano;Terezinha
PE;26;Mesorregião do Agreste Pernambucano;Agrestina
PE;26;Mesorregião do Agreste Pernambucano;Altinho
PE;26;Mesorregião do Agreste Pernambucano;Barra de Guabiraba
PE;26;Mesorregião do Agreste Pernambucano;Bonito
PE;26;Mesorregião do Agreste Pernambucano;Camocim de São Félix
PE;26;Mesorregião do Agreste Pernambucano;Cupira
PE;26;Mesorregião do Agreste Pernambucano;Ibirajuba
PE;26;Mesorregião do Agreste Pernambucano;Lagoa dos Gatos
PE;26;Mesorregião do Agreste Pernambucano;Panelas
PE;26;Mesorregião do Agreste Pernambucano;Sairé
PE;26;Mesorregião do Agreste Pernambucano;São Joaquim do Monte
PE;26;Mesorregião da Mata Pernambucana;Aliança
PE;26;Mesorregião da Mata Pernambucana;Buenos Aires
PE;26;Mesorregião da Mata Pernambucana;Camutanga
PE;26;Mesorregião da Mata Pernambucana;Carpina
PE;26;Mesorregião da Mata Pernambucana;Condado
PE;26;Mesorregião da Mata Pernambucana;Ferreiros
PE;26;Mesorregião da Mata Pernambucana;Goiana
PE;26;Mesorregião da Mata Pernambucana;Itambé
PE;26;Mesorregião da Mata Pernambucana;Itaquitinga
PE;26;Mesorregião da Mata Pernambucana;Lagoa de Itaenga
PE;26;Mesorregião da Mata Pernambucana;Lagoa do Carro
PE;26;Mesorregião da Mata Pernambucana;Macaparana
PE;26;Mesorregião da Mata Pernambucana;Nazaré da Mata
PE;26;Mesorregião da Mata Pernambucana;Paudalho
PE;26;Mesorregião da Mata Pernambucana;Timbaúba
PE;26;Mesorregião da Mata Pernambucana;Tracunhaém
PE;26;Mesorregião da Mata Pernambucana;Vicência
PE;26;Mesorregião da Mata Pernambucana;Chã de Alegria
PE;26;Mesorregião da Mata Pernambucana;Chã Grande
PE;26;Mesorregião da Mata Pernambucana;Glória do Goitá
PE;26;Mesorregião da Mata Pernambucana;Pombos
PE;26;Mesorregião da Mata Pernambucana;Vitória de Santo Antão
PE;26;Mesorregião da Mata Pernambucana;Água Preta
PE;26;Mesorregião da Mata Pernambucana;Amaraji
PE;26;Mesorregião da Mata Pernambucana;Barreiros
PE;26;Mesorregião da Mata Pernambucana;Belém de Maria
PE;26;Mesorregião da Mata Pernambucana;Catende
PE;26;Mesorregião da Mata Pernambucana;Cortês
PE;26;Mesorregião da Mata Pernambucana;Escada
PE;26;Mesorregião da Mata Pernambucana;Gameleira
PE;26;Mesorregião da Mata Pernambucana;Jaqueira
PE;26;Mesorregião da Mata Pernambucana;Joaquim Nabuco
PE;26;Mesorregião da Mata Pernambucana;Maraial
PE;26;Mesorregião da Mata Pernambucana;Palmares
PE;26;Mesorregião da Mata Pernambucana;Primavera
PE;26;Mesorregião da Mata Pernambucana;Quipapá
PE;26;Mesorregião da Mata Pernambucana;Ribeirão
PE;26;Mesorregião da Mata Pernambucana;Rio Formoso
PE;26;Mesorregião da Mata Pernambucana;São Benedito do Sul
PE;26;Mesorregião da Mata Pernambucana;São José da Coroa Grande
PE;26;Mesorregião da Mata Pernambucana;Sirinhaém
PE;26;Mesorregião da Mata Pernambucana;Tamandaré
PE;26;Mesorregião da Mata Pernambucana;Xexéu
PE;26;Mesorregião Metropolitana do Recife;Araçoiaba
PE;26;Mesorregião Metropolitana do Recife;Igarassu
PE;26;Mesorregião Metropolitana do Recife;Ilha de Itamaracá
PE;26;Mesorregião Metropolitana do Recife;Itapissuma
PE;26;Mesorregião Metropolitana do Recife;Abreu e Lima
PE;26;Mesorregião Metropolitana do Recife;Camaragibe
PE;26;Mesorregião Metropolitana do Recife;Jaboatão dos Guararapes
PE;26;Mesorregião Metropolitana do Recife;Moreno
PE;26;Mesorregião Metropolitana do Recife;Olinda
PE;26;Mesorregião Metropolitana do Recife;Paulista
PE;26;Mesorregião Metropolitana do Recife;Recife
PE;26;Mesorregião Metropolitana do Recife;São Lourenço da Mata
PE;26;Mesorregião Metropolitana do Recife;Cabo de Santo Agostinho
PE;26;Mesorregião Metropolitana do Recife;Ipojuca
PE;26;Mesorregião Metropolitana do Recife;Fernando de Noronha
