ufname;ufid;meso;citie
PI;22;Mesorregião do Norte Piauiense;Barras
PI;22;Mesorregião do Norte Piauiense;Batalha
PI;22;Mesorregião do Norte Piauiense;Boa Hora
PI;22;Mesorregião do Norte Piauiense;Brasileira
PI;22;Mesorregião do Norte Piauiense;Cabeceiras do Piauí
PI;22;Mesorregião do Norte Piauiense;Campo Largo do Piauí
PI;22;Mesorregião do Norte Piauiense;Esperantina
PI;22;Mesorregião do Norte Piauiense;Joaquim Pires
PI;22;Mesorregião do Norte Piauiense;Joca Marques
PI;22;Mesorregião do Norte Piauiense;Luzilândia
PI;22;Mesorregião do Norte Piauiense;Madeiro
PI;22;Mesorregião do Norte Piauiense;Matias Olímpio
PI;22;Mesorregião do Norte Piauiense;Miguel Alves
PI;22;Mesorregião do Norte Piauiense;Morro do Chapéu do Piauí
PI;22;Mesorregião do Norte Piauiense;Nossa Senhora dos Remédios
PI;22;Mesorregião do Norte Piauiense;Piripiri
PI;22;Mesorregião do Norte Piauiense;Porto
PI;22;Mesorregião do Norte Piauiense;São João do Arraial
PI;22;Mesorregião do Norte Piauiense;Bom Princípio do Piauí
PI;22;Mesorregião do Norte Piauiense;Buriti dos Lopes
PI;22;Mesorregião do Norte Piauiense;Cajueiro da Praia
PI;22;Mesorregião do Norte Piauiense;Caraúbas do Piauí
PI;22;Mesorregião do Norte Piauiense;Caxingó
PI;22;Mesorregião do Norte Piauiense;Cocal
PI;22;Mesorregião do Norte Piauiense;Cocal dos Alves
PI;22;Mesorregião do Norte Piauiense;Ilha Grande
PI;22;Mesorregião do Norte Piauiense;Luís Correia
PI;22;Mesorregião do Norte Piauiense;Murici dos Portelas
PI;22;Mesorregião do Norte Piauiense;Parnaíba
PI;22;Mesorregião do Norte Piauiense;Piracuruca
PI;22;Mesorregião do Norte Piauiense;São João da Fronteira
PI;22;Mesorregião do Norte Piauiense;São José do Divino
PI;22;Mesorregião do Centro-Norte Piauiense;Altos
PI;22;Mesorregião do Centro-Norte Piauiense;Beneditinos
PI;22;Mesorregião do Centro-Norte Piauiense;Coivaras
PI;22;Mesorregião do Centro-Norte Piauiense;Curralinhos
PI;22;Mesorregião do Centro-Norte Piauiense;Demerval Lobão
PI;22;Mesorregião do Centro-Norte Piauiense;José de Freitas
PI;22;Mesorregião do Centro-Norte Piauiense;Lagoa Alegre
PI;22;Mesorregião do Centro-Norte Piauiense;Lagoa do Piauí
PI;22;Mesorregião do Centro-Norte Piauiense;Miguel Leão
PI;22;Mesorregião do Centro-Norte Piauiense;Monsenhor Gil
PI;22;Mesorregião do Centro-Norte Piauiense;Nazária
PI;22;Mesorregião do Centro-Norte Piauiense;Pau d'Arco do Piauí
PI;22;Mesorregião do Centro-Norte Piauiense;Teresina
PI;22;Mesorregião do Centro-Norte Piauiense;União
PI;22;Mesorregião do Centro-Norte Piauiense;Alto Longá
PI;22;Mesorregião do Centro-Norte Piauiense;Assunção do Piauí
PI;22;Mesorregião do Centro-Norte Piauiense;Boqueirão do Piauí
PI;22;Mesorregião do Centro-Norte Piauiense;Buriti dos Montes
PI;22;Mesorregião do Centro-Norte Piauiense;Campo Maior
PI;22;Mesorregião do Centro-Norte Piauiense;Capitão de Campos
PI;22;Mesorregião do Centro-Norte Piauiense;Castelo do Piauí
PI;22;Mesorregião do Centro-Norte Piauiense;Cocal de Telha
PI;22;Mesorregião do Centro-Norte Piauiense;Domingos Mourão
PI;22;Mesorregião do Centro-Norte Piauiense;Jatobá do Piauí
PI;22;Mesorregião do Centro-Norte Piauiense;Juazeiro do Piauí
PI;22;Mesorregião do Centro-Norte Piauiense;Lagoa de São Francisco
PI;22;Mesorregião do Centro-Norte Piauiense;Milton Brandão
PI;22;Mesorregião do Centro-Norte Piauiense;Nossa Senhora de Nazaré
PI;22;Mesorregião do Centro-Norte Piauiense;Novo Santo Antônio
PI;22;Mesorregião do Centro-Norte Piauiense;Pedro II
PI;22;Mesorregião do Centro-Norte Piauiense;São João da Serra
PI;22;Mesorregião do Centro-Norte Piauiense;São Miguel do Tapuio
PI;22;Mesorregião do Centro-Norte Piauiense;Sigefredo Pacheco
PI;22;Mesorregião do Centro-Norte Piauiense;Agricolândia
PI;22;Mesorregião do Centro-Norte Piauiense;Água Branca
PI;22;Mesorregião do Centro-Norte Piauiense;Amarante
PI;22;Mesorregião do Centro-Norte Piauiense;Angical do Piauí
PI;22;Mesorregião do Centro-Norte Piauiense;Arraial
PI;22;Mesorregião do Centro-Norte Piauiense;Barro Duro
PI;22;Mesorregião do Centro-Norte Piauiense;Francisco Ayres
PI;22;Mesorregião do Centro-Norte Piauiense;Hugo Napoleão
PI;22;Mesorregião do Centro-Norte Piauiense;Jardim do Mulato
PI;22;Mesorregião do Centro-Norte Piauiense;Lagoinha do Piauí
PI;22;Mesorregião do Centro-Norte Piauiense;Olho d'Água do Piauí
PI;22;Mesorregião do Centro-Norte Piauiense;Palmeirais
PI;22;Mesorregião do Centro-Norte Piauiense;Passagem Franca do Piauí
PI;22;Mesorregião do Centro-Norte Piauiense;Regeneração
PI;22;Mesorregião do Centro-Norte Piauiense;Santo Antônio dos Milagres
PI;22;Mesorregião do Centro-Norte Piauiense;São Gonçalo do Piauí
PI;22;Mesorregião do Centro-Norte Piauiense;São Pedro do Piauí
PI;22;Mesorregião do Centro-Norte Piauiense;Aroazes
PI;22;Mesorregião do Centro-Norte Piauiense;Barra d'Alcântara
PI;22;Mesorregião do Centro-Norte Piauiense;Elesbão Veloso
PI;22;Mesorregião do Centro-Norte Piauiense;Francinópolis
