ufname;ufid;meso;citie
PR;41;Mesorregião do Noroeste Paranaense;Alto Paraná
PR;41;Mesorregião do Noroeste Paranaense;Amaporã
PR;41;Mesorregião do Noroeste Paranaense;Cruzeiro do Sul
PR;41;Mesorregião do Noroeste Paranaense;Diamante do Norte
PR;41;Mesorregião do Noroeste Paranaense;Guairaçá
PR;41;Mesorregião do Noroeste Paranaense;Inajá
PR;41;Mesorregião do Noroeste Paranaense;Itaúna do Sul
PR;41;Mesorregião do Noroeste Paranaense;Jardim Olinda
PR;41;Mesorregião do Noroeste Paranaense;Loanda
PR;41;Mesorregião do Noroeste Paranaense;Marilena
PR;41;Mesorregião do Noroeste Paranaense;Mirador
PR;41;Mesorregião do Noroeste Paranaense;Nova Aliança do Ivaí
PR;41;Mesorregião do Noroeste Paranaense;Nova Londrina
PR;41;Mesorregião do Noroeste Paranaense;Paraíso do Norte
PR;41;Mesorregião do Noroeste Paranaense;Paranacity
PR;41;Mesorregião do Noroeste Paranaense;Paranapoema
PR;41;Mesorregião do Noroeste Paranaense;Paranavaí
PR;41;Mesorregião do Noroeste Paranaense;Planaltina do Paraná
PR;41;Mesorregião do Noroeste Paranaense;Porto Rico
PR;41;Mesorregião do Noroeste Paranaense;Querência do Norte
PR;41;Mesorregião do Noroeste Paranaense;Santa Cruz de Monte Castelo
PR;41;Mesorregião do Noroeste Paranaense;Santa Isabel do Ivaí
PR;41;Mesorregião do Noroeste Paranaense;Santa Mônica
PR;41;Mesorregião do Noroeste Paranaense;Santo Antônio do Caiuá
PR;41;Mesorregião do Noroeste Paranaense;São Carlos do Ivaí
PR;41;Mesorregião do Noroeste Paranaense;São João do Caiuá
PR;41;Mesorregião do Noroeste Paranaense;São Pedro do Paraná
PR;41;Mesorregião do Noroeste Paranaense;Tamboara
PR;41;Mesorregião do Noroeste Paranaense;Terra Rica
PR;41;Mesorregião do Noroeste Paranaense;Alto Paraíso
PR;41;Mesorregião do Noroeste Paranaense;Alto Piquiri
PR;41;Mesorregião do Noroeste Paranaense;Altônia
PR;41;Mesorregião do Noroeste Paranaense;Brasilândia do Sul
