ufname;ufid;meso;citie
RJ;33;Mesorregião do Noroeste Fluminense;Bom Jesus do Itabapoana
RJ;33;Mesorregião do Noroeste Fluminense;Italva
RJ;33;Mesorregião do Noroeste Fluminense;Itaperuna
RJ;33;Mesorregião do Noroeste Fluminense;Laje do Muriaé
RJ;33;Mesorregião do Noroeste Fluminense;Natividade
RJ;33;Mesorregião do Noroeste Fluminense;Porciúncula
RJ;33;Mesorregião do Noroeste Fluminense;Varre-Sai
RJ;33;Mesorregião do Noroeste Fluminense;Aperibé
RJ;33;Mesorregião do Noroeste Fluminense;Cambuci
RJ;33;Mesorregião do Noroeste Fluminense;Itaocara
RJ;33;Mesorregião do Noroeste Fluminense;Miracema
RJ;33;Mesorregião do Noroeste Fluminense;Santo Antônio de Pádua
RJ;33;Mesorregião do Noroeste Fluminense;São José de Ubá
RJ;33;Mesorregião do Norte Fluminense;Campos dos Goytacazes
RJ;33;Mesorregião do Norte Fluminense;Cardoso Moreira
RJ;33;Mesorregião do Norte Fluminense;São Fidélis
RJ;33;Mesorregião do Norte Fluminense;São Francisco de Itabapoana
RJ;33;Mesorregião do Norte Fluminense;São João da Barra
RJ;33;Mesorregião do Norte Fluminense;Carapebus
RJ;33;Mesorregião do Norte Fluminense;Conceição de Macabu
RJ;33;Mesorregião do Norte Fluminense;Macaé
RJ;33;Mesorregião do Norte Fluminense;Quissamã
RJ;33;Mesorregião do Centro Fluminense;Areal
RJ;33;Mesorregião do Centro Fluminense;Comendador Levy Gasparian
RJ;33;Mesorregião do Centro Fluminense;Paraíba do Sul
RJ;33;Mesorregião do Centro Fluminense;Sapucaia
RJ;33;Mesorregião do Centro Fluminense;Três Rios
RJ;33;Mesorregião do Centro Fluminense;Cantagalo
RJ;33;Mesorregião do Centro Fluminense;Carmo
RJ;33;Mesorregião do Centro Fluminense;Cordeiro
RJ;33;Mesorregião do Centro Fluminense;Macuco
RJ;33;Mesorregião do Centro Fluminense;Bom Jardim
RJ;33;Mesorregião do Centro Fluminense;Duas Barras
RJ;33;Mesorregião do Centro Fluminense;Nova Friburgo
RJ;33;Mesorregião do Centro Fluminense;Sumidouro
RJ;33;Mesorregião do Centro Fluminense;Santa Maria Madalena
RJ;33;Mesorregião do Centro Fluminense;São Sebastião do Alto
RJ;33;Mesorregião do Centro Fluminense;Trajano de Moraes
RJ;33;Mesorregião das Baixadas Litorâneas;Casimiro de Abreu
RJ;33;Mesorregião das Baixadas Litorâneas;Rio das Ostras
RJ;33;Mesorregião das Baixadas Litorâneas;Silva Jardim
RJ;33;Mesorregião das Baixadas Litorâneas;Araruama
RJ;33;Mesorregião das Baixadas Litorâneas;Armação dos Búzios
RJ;33;Mesorregião das Baixadas Litorâneas;Arraial do Cabo
RJ;33;Mesorregião das Baixadas Litorâneas;Cabo Frio
RJ;33;Mesorregião das Baixadas Litorâneas;Iguaba Grande
RJ;33;Mesorregião das Baixadas Litorâneas;São Pedro da Aldeia
RJ;33;Mesorregião das Baixadas Litorâneas;Saquarema
RJ;33;Mesorregião do Sul Fluminense;Barra Mansa
RJ;33;Mesorregião do Sul Fluminense;Itatiaia
RJ;33;Mesorregião do Sul Fluminense;Pinheiral
RJ;33;Mesorregião do Sul Fluminense;Piraí
RJ;33;Mesorregião do Sul Fluminense;Porto Real
RJ;33;Mesorregião do Sul Fluminense;Quatis
RJ;33;Mesorregião do Sul Fluminense;Resende
RJ;33;Mesorregião do Sul Fluminense;Rio Claro
RJ;33;Mesorregião do Sul Fluminense;Volta Redonda
RJ;33;Mesorregião do Sul Fluminense;Barra do Piraí
RJ;33;Mesorregião do Sul Fluminense;Rio das Flores
RJ;33;Mesorregião do Sul Fluminense;Valença
RJ;33;Mesorregião do Sul Fluminense;Angra dos Reis
RJ;33;Mesorregião do Sul Fluminense;Paraty
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Engenheiro Paulo de Frontin
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Mendes
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Miguel Pereira
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Paracambi
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Paty do Alferes
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Vassouras
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Petrópolis
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Teresópolis
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;São José do Vale do Rio Preto
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Cachoeiras de Macacu
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Rio Bonito
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Itaguaí
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Mangaratiba
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Seropédica
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Belford Roxo
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Duque de Caxias
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Guapimirim
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Itaboraí
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Japeri
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Magé
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Maricá
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Mesquita
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Nilópolis
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Niterói
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Nova Iguaçu
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Queimados
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Rio de Janeiro
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;São Gonçalo
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;São João de Meriti
RJ;33;Mesorregião Metropolitana do Rio de Janeiro;Tanguá
