ufname;ufid;meso;citie
RN;24;Mesorregião do Oeste Potiguar;Areia Branca
RN;24;Mesorregião do Oeste Potiguar;Baraúna
RN;24;Mesorregião do Oeste Potiguar;Grossos
RN;24;Mesorregião do Oeste Potiguar;Mossoró
RN;24;Mesorregião do Oeste Potiguar;Serra do Mel
RN;24;Mesorregião do Oeste Potiguar;Tibau
RN;24;Mesorregião do Oeste Potiguar;Apodi
RN;24;Mesorregião do Oeste Potiguar;Caraúbas
RN;24;Mesorregião do Oeste Potiguar;Felipe Guerra
RN;24;Mesorregião do Oeste Potiguar;Governador Dix-Sept Rosado
RN;24;Mesorregião do Oeste Potiguar;Campo Grande
RN;24;Mesorregião do Oeste Potiguar;Janduís
RN;24;Mesorregião do Oeste Potiguar;Messias Targino
RN;24;Mesorregião do Oeste Potiguar;Paraú
RN;24;Mesorregião do Oeste Potiguar;Triunfo Potiguar
RN;24;Mesorregião do Oeste Potiguar;Upanema
RN;24;Mesorregião do Oeste Potiguar;Alto do Rodrigues
RN;24;Mesorregião do Oeste Potiguar;Assu
RN;24;Mesorregião do Oeste Potiguar;Carnaubais
RN;24;Mesorregião do Oeste Potiguar;Ipanguaçu
RN;24;Mesorregião do Oeste Potiguar;Itajá
RN;24;Mesorregião do Oeste Potiguar;Jucurutu
RN;24;Mesorregião do Oeste Potiguar;Pendências
RN;24;Mesorregião do Oeste Potiguar;Porto do Mangue
RN;24;Mesorregião do Oeste Potiguar;São Rafael
RN;24;Mesorregião do Oeste Potiguar;Água Nova
RN;24;Mesorregião do Oeste Potiguar;Coronel João Pessoa
RN;24;Mesorregião do Oeste Potiguar;Doutor Severiano
RN;24;Mesorregião do Oeste Potiguar;Encanto
RN;24;Mesorregião do Oeste Potiguar;Luís Gomes
RN;24;Mesorregião do Oeste Potiguar;Major Sales
RN;24;Mesorregião do Oeste Potiguar;Riacho de Santana
RN;24;Mesorregião do Oeste Potiguar;São Miguel
RN;24;Mesorregião do Oeste Potiguar;Venha-Ver
RN;24;Mesorregião do Oeste Potiguar;Alexandria
RN;24;Mesorregião do Oeste Potiguar;Francisco Dantas
RN;24;Mesorregião do Oeste Potiguar;Itaú
RN;24;Mesorregião do Oeste Potiguar;José da Penha
RN;24;Mesorregião do Oeste Potiguar;Marcelino Vieira
RN;24;Mesorregião do Oeste Potiguar;Paraná
RN;24;Mesorregião do Oeste Potiguar;Pau dos Ferros
RN;24;Mesorregião do Oeste Potiguar;Pilões
RN;24;Mesorregião do Oeste Potiguar;Portalegre
RN;24;Mesorregião do Oeste Potiguar;Rafael Fernandes
RN;24;Mesorregião do Oeste Potiguar;Riacho da Cruz
RN;24;Mesorregião do Oeste Potiguar;Rodolfo Fernandes
RN;24;Mesorregião do Oeste Potiguar;São Francisco do Oeste
RN;24;Mesorregião do Oeste Potiguar;Severiano Melo
RN;24;Mesorregião do Oeste Potiguar;Taboleiro Grande
RN;24;Mesorregião do Oeste Potiguar;Tenente Ananias
RN;24;Mesorregião do Oeste Potiguar;Viçosa
RN;24;Mesorregião do Oeste Potiguar;Almino Afonso
RN;24;Mesorregião do Oeste Potiguar;Antônio Martins
RN;24;Mesorregião do Oeste Potiguar;Frutuoso Gomes
RN;24;Mesorregião do Oeste Potiguar;João Dias
RN;24;Mesorregião do Oeste Potiguar;Lucrécia
RN;24;Mesorregião do Oeste Potiguar;Martins
RN;24;Mesorregião do Oeste Potiguar;Olho-d'Água do Borges
RN;24;Mesorregião do Oeste Potiguar;Patu
RN;24;Mesorregião do Oeste Potiguar;Rafael Godeiro
RN;24;Mesorregião do Oeste Potiguar;Serrinha dos Pintos
RN;24;Mesorregião do Oeste Potiguar;Umarizal
RN;24;Mesorregião Central Potiguar;Caiçara do Norte
RN;24;Mesorregião Central Potiguar;Galinhos
RN;24;Mesorregião Central Potiguar;Guamaré
RN;24;Mesorregião Central Potiguar;Macau
RN;24;Mesorregião Central Potiguar;São Bento do Norte
RN;24;Mesorregião Central Potiguar;Afonso Bezerra
RN;24;Mesorregião Central Potiguar;Angicos
RN;24;Mesorregião Central Potiguar;Caiçara do Rio do Vento
RN;24;Mesorregião Central Potiguar;Fernando Pedroza
RN;24;Mesorregião Central Potiguar;Jardim de Angicos
RN;24;Mesorregião Central Potiguar;Lajes
RN;24;Mesorregião Central Potiguar;Pedra Preta
RN;24;Mesorregião Central Potiguar;Pedro Avelino
RN;24;Mesorregião Central Potiguar;Bodó
RN;24;Mesorregião Central Potiguar;Cerro Corá
RN;24;Mesorregião Central Potiguar;Florânia
RN;24;Mesorregião Central Potiguar;Lagoa Nova
RN;24;Mesorregião Central Potiguar;Santana do Matos
RN;24;Mesorregião Central Potiguar;São Vicente
RN;24;Mesorregião Central Potiguar;Tenente Laurentino Cruz
RN;24;Mesorregião Central Potiguar;Caicó
RN;24;Mesorregião Central Potiguar;Ipueira
RN;24;Mesorregião Central Potiguar;Jardim de Piranhas
RN;24;Mesorregião Central Potiguar;São Fernando
RN;24;Mesorregião Central Potiguar;São João do Sabugi
RN;24;Mesorregião Central Potiguar;Serra Negra do Norte
RN;24;Mesorregião Central Potiguar;Timbaúba dos Batistas
RN;24;Mesorregião Central Potiguar;Acari
RN;24;Mesorregião Central Potiguar;Carnaúba dos Dantas
RN;24;Mesorregião Central Potiguar;Cruzeta
RN;24;Mesorregião Central Potiguar;Currais Novos
RN;24;Mesorregião Central Potiguar;Equador
RN;24;Mesorregião Central Potiguar;Jardim do Seridó
RN;24;Mesorregião Central Potiguar;Ouro Branco
RN;24;Mesorregião Central Potiguar;Parelhas
