ufname;ufid;meso;citie
RO;11;Mesorregião de Madeira-Guaporé;Buritis
RO;11;Mesorregião de Madeira-Guaporé;Campo Novo de Rondônia
RO;11;Mesorregião de Madeira-Guaporé;Candeias do Jamari
RO;11;Mesorregião de Madeira-Guaporé;Cujubim
RO;11;Mesorregião de Madeira-Guaporé;Itapuã do Oeste
RO;11;Mesorregião de Madeira-Guaporé;Nova Mamoré
RO;11;Mesorregião de Madeira-Guaporé;Porto Velho
RO;11;Mesorregião de Madeira-Guaporé;Costa Marques
RO;11;Mesorregião de Madeira-Guaporé;Guajará-Mirim
RO;11;Mesorregião de Madeira-Guaporé;São Francisco do Guaporé
RO;11;Mesorregião do Leste Rondoniense;Alto Paraíso
RO;11;Mesorregião do Leste Rondoniense;Ariquemes
RO;11;Mesorregião do Leste Rondoniense;Cacaulândia
RO;11;Mesorregião do Leste Rondoniense;Machadinho d'Oeste
RO;11;Mesorregião do Leste Rondoniense;Monte Negro
RO;11;Mesorregião do Leste Rondoniense;Rio Crespo
RO;11;Mesorregião do Leste Rondoniense;Vale do Anari
RO;11;Mesorregião do Leste Rondoniense;Governador Jorge Teixeira
RO;11;Mesorregião do Leste Rondoniense;Jaru
RO;11;Mesorregião do Leste Rondoniense;Ji-Paraná
RO;11;Mesorregião do Leste Rondoniense;Mirante da Serra
RO;11;Mesorregião do Leste Rondoniense;Nova União
RO;11;Mesorregião do Leste Rondoniense;Ouro Preto do Oeste
RO;11;Mesorregião do Leste Rondoniense;Presidente Médici
RO;11;Mesorregião do Leste Rondoniense;Teixeirópolis
RO;11;Mesorregião do Leste Rondoniense;Theobroma
RO;11;Mesorregião do Leste Rondoniense;Urupá
RO;11;Mesorregião do Leste Rondoniense;Vale do Paraíso
RO;11;Mesorregião do Leste Rondoniense;Alvorada d'Oeste
RO;11;Mesorregião do Leste Rondoniense;Nova Brasilândia d'Oeste
RO;11;Mesorregião do Leste Rondoniense;São Miguel do Guaporé
RO;11;Mesorregião do Leste Rondoniense;Seringueiras
RO;11;Mesorregião do Leste Rondoniense;Alta Floresta d'Oeste
RO;11;Mesorregião do Leste Rondoniense;Alto Alegre dos Parecis
RO;11;Mesorregião do Leste Rondoniense;Cacoal
RO;11;Mesorregião do Leste Rondoniense;Castanheiras
RO;11;Mesorregião do Leste Rondoniense;Espigão d'Oeste
RO;11;Mesorregião do Leste Rondoniense;Ministro Andreazza
RO;11;Mesorregião do Leste Rondoniense;Novo Horizonte do Oeste
RO;11;Mesorregião do Leste Rondoniense;Rolim de Moura
RO;11;Mesorregião do Leste Rondoniense;Santa Luzia d'Oeste
RO;11;Mesorregião do Leste Rondoniense;Chupinguaia
RO;11;Mesorregião do Leste Rondoniense;Parecis
RO;11;Mesorregião do Leste Rondoniense;Pimenta Bueno
RO;11;Mesorregião do Leste Rondoniense;Primavera de Rondônia
RO;11;Mesorregião do Leste Rondoniense;São Felipe d'Oeste
RO;11;Mesorregião do Leste Rondoniense;Vilhena
RO;11;Mesorregião do Leste Rondoniense;Cabixi
RO;11;Mesorregião do Leste Rondoniense;Cerejeiras
RO;11;Mesorregião do Leste Rondoniense;Colorado do Oeste
RO;11;Mesorregião do Leste Rondoniense;Corumbiara
RO;11;Mesorregião do Leste Rondoniense;Pimenteiras do Oeste
