ufname;ufid;meso;citie
RR;14;Mesorregião do Norte de Roraima;Alto Alegre
RR;14;Mesorregião do Norte de Roraima;Amajari
RR;14;Mesorregião do Norte de Roraima;Boa Vista
RR;14;Mesorregião do Norte de Roraima;Pacaraima
RR;14;Mesorregião do Norte de Roraima;Bonfim
RR;14;Mesorregião do Norte de Roraima;Cantá
RR;14;Mesorregião do Norte de Roraima;Normandia
RR;14;Mesorregião do Norte de Roraima;Uiramutã
RR;14;Mesorregião do Sul de Roraima;Caracaraí
RR;14;Mesorregião do Sul de Roraima;Iracema
RR;14;Mesorregião do Sul de Roraima;Mucajaí
RR;14;Mesorregião do Sul de Roraima;Caroebe
RR;14;Mesorregião do Sul de Roraima;Rorainópolis
RR;14;Mesorregião do Sul de Roraima;São João da Baliza
RR;14;Mesorregião do Sul de Roraima;São Luiz
