ufname;ufid;meso;citie
RS;43;Mesorregião do Noroeste Rio-Grandense;Alecrim
RS;43;Mesorregião do Noroeste Rio-Grandense;Cândido Godói
RS;43;Mesorregião do Noroeste Rio-Grandense;Independência
RS;43;Mesorregião do Noroeste Rio-Grandense;Novo Machado
RS;43;Mesorregião do Noroeste Rio-Grandense;Porto Lucena
RS;43;Mesorregião do Noroeste Rio-Grandense;Porto Mauá
RS;43;Mesorregião do Noroeste Rio-Grandense;Porto Vera Cruz
RS;43;Mesorregião do Noroeste Rio-Grandense;Santa Rosa
RS;43;Mesorregião do Noroeste Rio-Grandense;Santo Cristo
RS;43;Mesorregião do Noroeste Rio-Grandense;São José do Inhacorá
RS;43;Mesorregião do Noroeste Rio-Grandense;Três de Maio
RS;43;Mesorregião do Noroeste Rio-Grandense;Tucunduva
RS;43;Mesorregião do Noroeste Rio-Grandense;Tuparendi
RS;43;Mesorregião do Noroeste Rio-Grandense;Barra do Guarita
RS;43;Mesorregião do Noroeste Rio-Grandense;Boa Vista do Buricá
RS;43;Mesorregião do Noroeste Rio-Grandense;Bom Progresso
RS;43;Mesorregião do Noroeste Rio-Grandense;Braga
RS;43;Mesorregião do Noroeste Rio-Grandense;Campo Novo
RS;43;Mesorregião do Noroeste Rio-Grandense;Crissiumal
RS;43;Mesorregião do Noroeste Rio-Grandense;Derrubadas
RS;43;Mesorregião do Noroeste Rio-Grandense;Doutor Maurício Cardoso
RS;43;Mesorregião do Noroeste Rio-Grandense;Esperança do Sul
RS;43;Mesorregião do Noroeste Rio-Grandense;Horizontina
RS;43;Mesorregião do Noroeste Rio-Grandense;Humaitá
RS;43;Mesorregião do Noroeste Rio-Grandense;Miraguaí
RS;43;Mesorregião do Noroeste Rio-Grandense;Nova Candelária
RS;43;Mesorregião do Noroeste Rio-Grandense;Redentora
RS;43;Mesorregião do Noroeste Rio-Grandense;São Martinho
RS;43;Mesorregião do Noroeste Rio-Grandense;Sede Nova
RS;43;Mesorregião do Noroeste Rio-Grandense;Tenente Portela
RS;43;Mesorregião do Noroeste Rio-Grandense;Tiradentes do Sul
RS;43;Mesorregião do Noroeste Rio-Grandense;Três Passos
RS;43;Mesorregião do Noroeste Rio-Grandense;Vista Gaúcha
RS;43;Mesorregião do Noroeste Rio-Grandense;Alpestre
RS;43;Mesorregião do Noroeste Rio-Grandense;Ametista do Sul
RS;43;Mesorregião do Noroeste Rio-Grandense;Caiçara
RS;43;Mesorregião do Noroeste Rio-Grandense;Constantina
RS;43;Mesorregião do Noroeste Rio-Grandense;Cristal do Sul
RS;43;Mesorregião do Noroeste Rio-Grandense;Dois Irmãos das Missões
RS;43;Mesorregião do Noroeste Rio-Grandense;Engenho Velho
RS;43;Mesorregião do Noroeste Rio-Grandense;Erval Seco
RS;43;Mesorregião do Noroeste Rio-Grandense;Frederico Westphalen
RS;43;Mesorregião do Noroeste Rio-Grandense;Gramado dos Loureiros
RS;43;Mesorregião do Noroeste Rio-Grandense;Iraí
RS;43;Mesorregião do Noroeste Rio-Grandense;Liberato Salzano
RS;43;Mesorregião do Noroeste Rio-Grandense;Nonoai
RS;43;Mesorregião do Noroeste Rio-Grandense;Novo Tiradentes
RS;43;Mesorregião do Noroeste Rio-Grandense;Novo Xingu
RS;43;Mesorregião do Noroeste Rio-Grandense;Palmitinho
RS;43;Mesorregião do Noroeste Rio-Grandense;Pinheirinho do Vale
RS;43;Mesorregião do Noroeste Rio-Grandense;Planalto
RS;43;Mesorregião do Noroeste Rio-Grandense;Rio dos Índios
RS;43;Mesorregião do Noroeste Rio-Grandense;Rodeio Bonito
RS;43;Mesorregião do Noroeste Rio-Grandense;Rondinha
RS;43;Mesorregião do Noroeste Rio-Grandense;Seberi
RS;43;Mesorregião do Noroeste Rio-Grandense;Taquaruçu do Sul
RS;43;Mesorregião do Noroeste Rio-Grandense;Três Palmeiras
RS;43;Mesorregião do Noroeste Rio-Grandense;Trindade do Sul
