ufname;ufid;meso;citie
SC;42;Mesorregião do Oeste Catarinense;Anchieta
SC;42;Mesorregião do Oeste Catarinense;Bandeirante
SC;42;Mesorregião do Oeste Catarinense;Barra Bonita
SC;42;Mesorregião do Oeste Catarinense;Belmonte
SC;42;Mesorregião do Oeste Catarinense;Descanso
SC;42;Mesorregião do Oeste Catarinense;Dionísio Cerqueira
SC;42;Mesorregião do Oeste Catarinense;Guaraciaba
SC;42;Mesorregião do Oeste Catarinense;Guarujá do Sul
SC;42;Mesorregião do Oeste Catarinense;Iporã do Oeste
SC;42;Mesorregião do Oeste Catarinense;Itapiranga
SC;42;Mesorregião do Oeste Catarinense;Mondaí
SC;42;Mesorregião do Oeste Catarinense;Palma Sola
SC;42;Mesorregião do Oeste Catarinense;Paraíso
SC;42;Mesorregião do Oeste Catarinense;Princesa
SC;42;Mesorregião do Oeste Catarinense;Riqueza
SC;42;Mesorregião do Oeste Catarinense;Romelândia
SC;42;Mesorregião do Oeste Catarinense;Santa Helena
SC;42;Mesorregião do Oeste Catarinense;São João do Oeste
SC;42;Mesorregião do Oeste Catarinense;São José do Cedro
SC;42;Mesorregião do Oeste Catarinense;São Miguel do Oeste
SC;42;Mesorregião do Oeste Catarinense;Tunápolis
SC;42;Mesorregião do Oeste Catarinense;Águas de Chapecó
SC;42;Mesorregião do Oeste Catarinense;Águas Frias
SC;42;Mesorregião do Oeste Catarinense;Bom Jesus do Oeste
SC;42;Mesorregião do Oeste Catarinense;Caibi
SC;42;Mesorregião do Oeste Catarinense;Campo Erê
SC;42;Mesorregião do Oeste Catarinense;Caxambu do Sul
SC;42;Mesorregião do Oeste Catarinense;Chapecó
SC;42;Mesorregião do Oeste Catarinense;Cordilheira Alta
SC;42;Mesorregião do Oeste Catarinense;Coronel Freitas
SC;42;Mesorregião do Oeste Catarinense;Cunha Porã
SC;42;Mesorregião do Oeste Catarinense;Cunhataí
SC;42;Mesorregião do Oeste Catarinense;Flor do Sertão
SC;42;Mesorregião do Oeste Catarinense;Formosa do Sul
SC;42;Mesorregião do Oeste Catarinense;Guatambu
SC;42;Mesorregião do Oeste Catarinense;Iraceminha
SC;42;Mesorregião do Oeste Catarinense;Irati
SC;42;Mesorregião do Oeste Catarinense;Jardinópolis
SC;42;Mesorregião do Oeste Catarinense;Maravilha
SC;42;Mesorregião do Oeste Catarinense;Modelo
SC;42;Mesorregião do Oeste Catarinense;Nova Erechim
SC;42;Mesorregião do Oeste Catarinense;Nova Itaberaba
SC;42;Mesorregião do Oeste Catarinense;Novo Horizonte
SC;42;Mesorregião do Oeste Catarinense;Palmitos
SC;42;Mesorregião do Oeste Catarinense;Pinhalzinho
SC;42;Mesorregião do Oeste Catarinense;Planalto Alegre
SC;42;Mesorregião do Oeste Catarinense;Quilombo
SC;42;Mesorregião do Oeste Catarinense;Saltinho
SC;42;Mesorregião do Oeste Catarinense;Santa Terezinha do Progresso
SC;42;Mesorregião do Oeste Catarinense;Santiago do Sul
SC;42;Mesorregião do Oeste Catarinense;São Bernardino
SC;42;Mesorregião do Oeste Catarinense;São Carlos
SC;42;Mesorregião do Oeste Catarinense;São Lourenço do Oeste
SC;42;Mesorregião do Oeste Catarinense;São Miguel da Boa Vista
SC;42;Mesorregião do Oeste Catarinense;Saudades
SC;42;Mesorregião do Oeste Catarinense;Serra Alta
SC;42;Mesorregião do Oeste Catarinense;Sul Brasil
SC;42;Mesorregião do Oeste Catarinense;Tigrinhos
SC;42;Mesorregião do Oeste Catarinense;União do Oeste
SC;42;Mesorregião do Oeste Catarinense;Abelardo Luz
SC;42;Mesorregião do Oeste Catarinense;Bom Jesus
SC;42;Mesorregião do Oeste Catarinense;Coronel Martins
SC;42;Mesorregião do Oeste Catarinense;Entre Rios
SC;42;Mesorregião do Oeste Catarinense;Faxinal dos Guedes
SC;42;Mesorregião do Oeste Catarinense;Galvão
SC;42;Mesorregião do Oeste Catarinense;Ipuaçu
SC;42;Mesorregião do Oeste Catarinense;Jupiá
SC;42;Mesorregião do Oeste Catarinense;Lajeado Grande
SC;42;Mesorregião do Oeste Catarinense;Marema
SC;42;Mesorregião do Oeste Catarinense;Ouro Verde
SC;42;Mesorregião do Oeste Catarinense;Passos Maia
SC;42;Mesorregião do Oeste Catarinense;Ponte Serrada
SC;42;Mesorregião do Oeste Catarinense;São Domingos
SC;42;Mesorregião do Oeste Catarinense;Vargeão
SC;42;Mesorregião do Oeste Catarinense;Xanxerê
SC;42;Mesorregião do Oeste Catarinense;Xaxim
SC;42;Mesorregião do Oeste Catarinense;Água Doce
SC;42;Mesorregião do Oeste Catarinense;Arroio Trinta
SC;42;Mesorregião do Oeste Catarinense;Caçador
SC;42;Mesorregião do Oeste Catarinense;Calmon
SC;42;Mesorregião do Oeste Catarinense;Capinzal
SC;42;Mesorregião do Oeste Catarinense;Catanduvas
SC;42;Mesorregião do Oeste Catarinense;Erval Velho
SC;42;Mesorregião do Oeste Catarinense;Fraiburgo
SC;42;Mesorregião do Oeste Catarinense;Herval d'Oeste
SC;42;Mesorregião do Oeste Catarinense;Ibiam
SC;42;Mesorregião do Oeste Catarinense;Ibicaré
SC;42;Mesorregião do Oeste Catarinense;Iomerê
SC;42;Mesorregião do Oeste Catarinense;Jaborá
SC;42;Mesorregião do Oeste Catarinense;Joaçaba
SC;42;Mesorregião do Oeste Catarinense;Lacerdópolis
SC;42;Mesorregião do Oeste Catarinense;Lebon Régis
SC;42;Mesorregião do Oeste Catarinense;Luzerna
SC;42;Mesorregião do Oeste Catarinense;Macieira
SC;42;Mesorregião do Oeste Catarinense;Matos Costa
SC;42;Mesorregião do Oeste Catarinense;Ouro
SC;42;Mesorregião do Oeste Catarinense;Pinheiro Preto
SC;42;Mesorregião do Oeste Catarinense;Rio das Antas
SC;42;Mesorregião do Oeste Catarinense;Salto Veloso
SC;42;Mesorregião do Oeste Catarinense;Tangará
SC;42;Mesorregião do Oeste Catarinense;Treze Tílias
SC;42;Mesorregião do Oeste Catarinense;Vargem Bonita
SC;42;Mesorregião do Oeste Catarinense;Videira
SC;42;Mesorregião do Oeste Catarinense;Alto Bela Vista
SC;42;Mesorregião do Oeste Catarinense;Arabutã
SC;42;Mesorregião do Oeste Catarinense;Arvoredo
SC;42;Mesorregião do Oeste Catarinense;Concórdia
SC;42;Mesorregião do Oeste Catarinense;Ipira
SC;42;Mesorregião do Oeste Catarinense;Ipumirim
SC;42;Mesorregião do Oeste Catarinense;Irani
SC;42;Mesorregião do Oeste Catarinense;Itá
SC;42;Mesorregião do Oeste Catarinense;Lindóia do Sul
SC;42;Mesorregião do Oeste Catarinense;Paial
SC;42;Mesorregião do Oeste Catarinense;Peritiba
SC;42;Mesorregião do Oeste Catarinense;Piratuba
SC;42;Mesorregião do Oeste Catarinense;Presidente Castello Branco
SC;42;Mesorregião do Oeste Catarinense;Seara
SC;42;Mesorregião do Oeste Catarinense;Xavantina
SC;42;Mesorregião do Norte Catarinense;Bela Vista do Toldo
SC;42;Mesorregião do Norte Catarinense;Canoinhas
SC;42;Mesorregião do Norte Catarinense;Irineópolis
SC;42;Mesorregião do Norte Catarinense;Itaiópolis
SC;42;Mesorregião do Norte Catarinense;Mafra
SC;42;Mesorregião do Norte Catarinense;Major Vieira
SC;42;Mesorregião do Norte Catarinense;Monte Castelo
SC;42;Mesorregião do Norte Catarinense;Papanduva
SC;42;Mesorregião do Norte Catarinense;Porto União
SC;42;Mesorregião do Norte Catarinense;Santa Terezinha
SC;42;Mesorregião do Norte Catarinense;Timbó Grande
SC;42;Mesorregião do Norte Catarinense;Três Barras
SC;42;Mesorregião do Norte Catarinense;Campo Alegre
SC;42;Mesorregião do Norte Catarinense;Rio Negrinho
SC;42;Mesorregião do Norte Catarinense;São Bento do Sul
SC;42;Mesorregião do Norte Catarinense;Araquari
SC;42;Mesorregião do Norte Catarinense;Balneário Barra do Sul
SC;42;Mesorregião do Norte Catarinense;Corupá
SC;42;Mesorregião do Norte Catarinense;Garuva
SC;42;Mesorregião do Norte Catarinense;Guaramirim
SC;42;Mesorregião do Norte Catarinense;Itapoá
SC;42;Mesorregião do Norte Catarinense;Jaraguá do Sul
SC;42;Mesorregião do Norte Catarinense;Joinville
SC;42;Mesorregião do Norte Catarinense;Massaranduba
SC;42;Mesorregião do Norte Catarinense;São Francisco do Sul
SC;42;Mesorregião do Norte Catarinense;Schroeder
SC;42;Mesorregião Serrana;Abdon Batista
SC;42;Mesorregião Serrana;Brunópolis
SC;42;Mesorregião Serrana;Campos Novos
SC;42;Mesorregião Serrana;Curitibanos
SC;42;Mesorregião Serrana;Frei Rogério
SC;42;Mesorregião Serrana;Monte Carlo
SC;42;Mesorregião Serrana;Ponte Alta
SC;42;Mesorregião Serrana;Ponte Alta do Norte
SC;42;Mesorregião Serrana;Santa Cecília
SC;42;Mesorregião Serrana;São Cristóvão do Sul
SC;42;Mesorregião Serrana;Vargem
SC;42;Mesorregião Serrana;Zortéa
SC;42;Mesorregião Serrana;Anita Garibaldi
SC;42;Mesorregião Serrana;Bocaina do Sul
SC;42;Mesorregião Serrana;Bom Jardim da Serra
SC;42;Mesorregião Serrana;Bom Retiro
SC;42;Mesorregião Serrana;Campo Belo do Sul
SC;42;Mesorregião Serrana;Capão Alto
SC;42;Mesorregião Serrana;Celso Ramos
SC;42;Mesorregião Serrana;Cerro Negro
SC;42;Mesorregião Serrana;Correia Pinto
SC;42;Mesorregião Serrana;Lages
SC;42;Mesorregião Serrana;Otacílio Costa
SC;42;Mesorregião Serrana;Painel
SC;42;Mesorregião Serrana;Palmeira
SC;42;Mesorregião Serrana;Rio Rufino
SC;42;Mesorregião Serrana;São Joaquim
SC;42;Mesorregião Serrana;São José do Cerrito
SC;42;Mesorregião Serrana;Urubici
SC;42;Mesorregião Serrana;Urupema
SC;42;Mesorregião do Vale do Itajaí;Agronômica
SC;42;Mesorregião do Vale do Itajaí;Aurora
SC;42;Mesorregião do Vale do Itajaí;Braço do Trombudo
SC;42;Mesorregião do Vale do Itajaí;Dona Emma
SC;42;Mesorregião do Vale do Itajaí;Ibirama
SC;42;Mesorregião do Vale do Itajaí;José Boiteux
SC;42;Mesorregião do Vale do Itajaí;Laurentino
SC;42;Mesorregião do Vale do Itajaí;Lontras
SC;42;Mesorregião do Vale do Itajaí;Mirim Doce
SC;42;Mesorregião do Vale do Itajaí;Pouso Redondo
SC;42;Mesorregião do Vale do Itajaí;Presidente Getúlio
SC;42;Mesorregião do Vale do Itajaí;Presidente Nereu
SC;42;Mesorregião do Vale do Itajaí;Rio do Campo
SC;42;Mesorregião do Vale do Itajaí;Rio do Oeste
SC;42;Mesorregião do Vale do Itajaí;Rio do Sul
SC;42;Mesorregião do Vale do Itajaí;Salete
SC;42;Mesorregião do Vale do Itajaí;Taió
SC;42;Mesorregião do Vale do Itajaí;Trombudo Central
SC;42;Mesorregião do Vale do Itajaí;Vitor Meireles
SC;42;Mesorregião do Vale do Itajaí;Witmarsum
SC;42;Mesorregião do Vale do Itajaí;Apiúna
SC;42;Mesorregião do Vale do Itajaí;Ascurra
SC;42;Mesorregião do Vale do Itajaí;Benedito Novo
SC;42;Mesorregião do Vale do Itajaí;Blumenau
SC;42;Mesorregião do Vale do Itajaí;Botuverá
SC;42;Mesorregião do Vale do Itajaí;Brusque
SC;42;Mesorregião do Vale do Itajaí;Doutor Pedrinho
SC;42;Mesorregião do Vale do Itajaí;Gaspar
SC;42;Mesorregião do Vale do Itajaí;Guabiruba
SC;42;Mesorregião do Vale do Itajaí;Indaial
SC;42;Mesorregião do Vale do Itajaí;Luiz Alves
