ufname;ufid;meso;citie
SE;28;Mesorregião do Sertão Sergipano;Canindé de São Francisco
SE;28;Mesorregião do Sertão Sergipano;Feira Nova
SE;28;Mesorregião do Sertão Sergipano;Gararu
SE;28;Mesorregião do Sertão Sergipano;Graccho Cardoso
SE;28;Mesorregião do Sertão Sergipano;Itabi
SE;28;Mesorregião do Sertão Sergipano;Monte Alegre de Sergipe
SE;28;Mesorregião do Sertão Sergipano;Nossa Senhora da Glória
SE;28;Mesorregião do Sertão Sergipano;Poço Redondo
SE;28;Mesorregião do Sertão Sergipano;Porto da Folha
SE;28;Mesorregião do Sertão Sergipano;Carira
SE;28;Mesorregião do Sertão Sergipano;Frei Paulo
SE;28;Mesorregião do Sertão Sergipano;Nossa Senhora Aparecida
SE;28;Mesorregião do Sertão Sergipano;Pedra Mole
SE;28;Mesorregião do Sertão Sergipano;Pinhão
SE;28;Mesorregião do Sertão Sergipano;Ribeirópolis
SE;28;Mesorregião do Agreste Sergipano;Aquidabã
SE;28;Mesorregião do Agreste Sergipano;Cumbe
SE;28;Mesorregião do Agreste Sergipano;Malhada dos Bois
SE;28;Mesorregião do Agreste Sergipano;Muribeca
SE;28;Mesorregião do Agreste Sergipano;Nossa Senhora das Dores
SE;28;Mesorregião do Agreste Sergipano;São Miguel do Aleixo
SE;28;Mesorregião do Agreste Sergipano;Areia Branca
SE;28;Mesorregião do Agreste Sergipano;Campo do Brito
SE;28;Mesorregião do Agreste Sergipano;Itabaiana
SE;28;Mesorregião do Agreste Sergipano;Macambira
SE;28;Mesorregião do Agreste Sergipano;Malhador
SE;28;Mesorregião do Agreste Sergipano;Moita Bonita
SE;28;Mesorregião do Agreste Sergipano;São Domingos
SE;28;Mesorregião do Agreste Sergipano;Poço Verde
SE;28;Mesorregião do Agreste Sergipano;Simão Dias
SE;28;Mesorregião do Agreste Sergipano;Tobias Barreto
SE;28;Mesorregião do Agreste Sergipano;Lagarto
SE;28;Mesorregião do Agreste Sergipano;Riachão do Dantas
SE;28;Mesorregião do Leste Sergipano;Amparo de São Francisco
SE;28;Mesorregião do Leste Sergipano;Brejo Grande
SE;28;Mesorregião do Leste Sergipano;Canhoba
SE;28;Mesorregião do Leste Sergipano;Cedro de São João
SE;28;Mesorregião do Leste Sergipano;Ilha das Flores
SE;28;Mesorregião do Leste Sergipano;Neópolis
SE;28;Mesorregião do Leste Sergipano;Nossa Senhora de Lourdes
SE;28;Mesorregião do Leste Sergipano;Propriá
SE;28;Mesorregião do Leste Sergipano;Santana do São Francisco
SE;28;Mesorregião do Leste Sergipano;Telha
SE;28;Mesorregião do Leste Sergipano;Capela
SE;28;Mesorregião do Leste Sergipano;Divina Pastora
SE;28;Mesorregião do Leste Sergipano;Santa Rosa de Lima
SE;28;Mesorregião do Leste Sergipano;Siriri
SE;28;Mesorregião do Leste Sergipano;Japaratuba
SE;28;Mesorregião do Leste Sergipano;Japoatã
SE;28;Mesorregião do Leste Sergipano;Pacatuba
SE;28;Mesorregião do Leste Sergipano;Pirambu
SE;28;Mesorregião do Leste Sergipano;São Francisco
SE;28;Mesorregião do Leste Sergipano;Carmópolis
SE;28;Mesorregião do Leste Sergipano;General Maynard
SE;28;Mesorregião do Leste Sergipano;Laranjeiras
SE;28;Mesorregião do Leste Sergipano;Maruim
SE;28;Mesorregião do Leste Sergipano;Riachuelo
SE;28;Mesorregião do Leste Sergipano;Rosário do Catete
SE;28;Mesorregião do Leste Sergipano;Santo Amaro das Brotas
SE;28;Mesorregião do Leste Sergipano;Aracaju
SE;28;Mesorregião do Leste Sergipano;Barra dos Coqueiros
SE;28;Mesorregião do Leste Sergipano;Nossa Senhora do Socorro
SE;28;Mesorregião do Leste Sergipano;São Cristóvão
SE;28;Mesorregião do Leste Sergipano;Arauá
SE;28;Mesorregião do Leste Sergipano;Boquim
SE;28;Mesorregião do Leste Sergipano;Cristinápolis
SE;28;Mesorregião do Leste Sergipano;Itabaianinha
SE;28;Mesorregião do Leste Sergipano;Pedrinhas
SE;28;Mesorregião do Leste Sergipano;Salgado
SE;28;Mesorregião do Leste Sergipano;Tomar do Geru
SE;28;Mesorregião do Leste Sergipano;Umbaúba
SE;28;Mesorregião do Leste Sergipano;Estância
SE;28;Mesorregião do Leste Sergipano;Indiaroba
SE;28;Mesorregião do Leste Sergipano;Itaporanga d'Ajuda
SE;28;Mesorregião do Leste Sergipano;Santa Luzia do Itanhi
