ufname;ufid;meso;citie
SP;35;Mesorregião de São José do Rio Preto;Aparecida d'Oeste
SP;35;Mesorregião de São José do Rio Preto;Aspásia
SP;35;Mesorregião de São José do Rio Preto;Dirce Reis
SP;35;Mesorregião de São José do Rio Preto;Dolcinópolis
SP;35;Mesorregião de São José do Rio Preto;Jales
SP;35;Mesorregião de São José do Rio Preto;Marinópolis
SP;35;Mesorregião de São José do Rio Preto;Mesópolis
SP;35;Mesorregião de São José do Rio Preto;Nova Canaã Paulista
SP;35;Mesorregião de São José do Rio Preto;Palmeira d'Oeste
SP;35;Mesorregião de São José do Rio Preto;Paranapuã
SP;35;Mesorregião de São José do Rio Preto;Pontalinda
SP;35;Mesorregião de São José do Rio Preto;Populina
SP;35;Mesorregião de São José do Rio Preto;Rubineia
SP;35;Mesorregião de São José do Rio Preto;Santa Albertina
SP;35;Mesorregião de São José do Rio Preto;Santa Clara d'Oeste
SP;35;Mesorregião de São José do Rio Preto;Santa Fé do Sul
SP;35;Mesorregião de São José do Rio Preto;Santa Rita d'Oeste
SP;35;Mesorregião de São José do Rio Preto;Santa Salete
SP;35;Mesorregião de São José do Rio Preto;Santana da Ponte Pensa
SP;35;Mesorregião de São José do Rio Preto;São Francisco
SP;35;Mesorregião de São José do Rio Preto;Três Fronteiras
SP;35;Mesorregião de São José do Rio Preto;Urânia
SP;35;Mesorregião de São José do Rio Preto;Vitória Brasil
SP;35;Mesorregião de São José do Rio Preto;Estrela d'Oeste
SP;35;Mesorregião de São José do Rio Preto;Fernandópolis
SP;35;Mesorregião de São José do Rio Preto;Guarani d'Oeste
SP;35;Mesorregião de São José do Rio Preto;Indiaporã
SP;35;Mesorregião de São José do Rio Preto;Macedônia
SP;35;Mesorregião de São José do Rio Preto;Meridiano
SP;35;Mesorregião de São José do Rio Preto;Mira Estrela
SP;35;Mesorregião de São José do Rio Preto;Ouroeste
SP;35;Mesorregião de São José do Rio Preto;Pedranópolis
SP;35;Mesorregião de São José do Rio Preto;São João das Duas Pontes
SP;35;Mesorregião de São José do Rio Preto;Turmalina
SP;35;Mesorregião de São José do Rio Preto;Álvares Florence
SP;35;Mesorregião de São José do Rio Preto;Américo de Campos
SP;35;Mesorregião de São José do Rio Preto;Cardoso
SP;35;Mesorregião de São José do Rio Preto;Cosmorama
SP;35;Mesorregião de São José do Rio Preto;Parisi
SP;35;Mesorregião de São José do Rio Preto;Pontes Gestal
SP;35;Mesorregião de São José do Rio Preto;Riolândia
SP;35;Mesorregião de São José do Rio Preto;Valentim Gentil
SP;35;Mesorregião de São José do Rio Preto;Votuporanga
SP;35;Mesorregião de São José do Rio Preto;Adolfo
SP;35;Mesorregião de São José do Rio Preto;Altair
SP;35;Mesorregião de São José do Rio Preto;Bady Bassitt
SP;35;Mesorregião de São José do Rio Preto;Bálsamo
SP;35;Mesorregião de São José do Rio Preto;Cedral
SP;35;Mesorregião de São José do Rio Preto;Guapiaçu
SP;35;Mesorregião de São José do Rio Preto;Guaraci
SP;35;Mesorregião de São José do Rio Preto;Ibirá
SP;35;Mesorregião de São José do Rio Preto;Icém
SP;35;Mesorregião de São José do Rio Preto;Ipiguá
SP;35;Mesorregião de São José do Rio Preto;Jaci
SP;35;Mesorregião de São José do Rio Preto;José Bonifácio
SP;35;Mesorregião de São José do Rio Preto;Mendonça
SP;35;Mesorregião de São José do Rio Preto;Mirassol
SP;35;Mesorregião de São José do Rio Preto;Mirassolândia
SP;35;Mesorregião de São José do Rio Preto;Nova Aliança
SP;35;Mesorregião de São José do Rio Preto;Nova Granada
SP;35;Mesorregião de São José do Rio Preto;Olímpia
