ufname;ufid;meso;citie
TO;17;Mesorregião Ocidental do Tocantins;Aguiarnópolis
TO;17;Mesorregião Ocidental do Tocantins;Ananás
TO;17;Mesorregião Ocidental do Tocantins;Angico
TO;17;Mesorregião Ocidental do Tocantins;Araguatins
TO;17;Mesorregião Ocidental do Tocantins;Augustinópolis
TO;17;Mesorregião Ocidental do Tocantins;Axixá do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Buriti do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Cachoeirinha
TO;17;Mesorregião Ocidental do Tocantins;Carrasco Bonito
TO;17;Mesorregião Ocidental do Tocantins;Darcinópolis
TO;17;Mesorregião Ocidental do Tocantins;Esperantina
TO;17;Mesorregião Ocidental do Tocantins;Itaguatins
TO;17;Mesorregião Ocidental do Tocantins;Luzinópolis
TO;17;Mesorregião Ocidental do Tocantins;Maurilândia do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Nazaré
TO;17;Mesorregião Ocidental do Tocantins;Palmeiras do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Praia Norte
TO;17;Mesorregião Ocidental do Tocantins;Riachinho
TO;17;Mesorregião Ocidental do Tocantins;Sampaio
TO;17;Mesorregião Ocidental do Tocantins;Santa Terezinha do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;São Bento do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;São Miguel do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;São Sebastião do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Sítio Novo do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Tocantinópolis
TO;17;Mesorregião Ocidental do Tocantins;Aragominas
TO;17;Mesorregião Ocidental do Tocantins;Araguaína
TO;17;Mesorregião Ocidental do Tocantins;Araguanã
TO;17;Mesorregião Ocidental do Tocantins;Arapoema
TO;17;Mesorregião Ocidental do Tocantins;Babaçulândia
TO;17;Mesorregião Ocidental do Tocantins;Bandeirantes do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Carmolândia
TO;17;Mesorregião Ocidental do Tocantins;Colinas do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Filadélfia
TO;17;Mesorregião Ocidental do Tocantins;Muricilândia
TO;17;Mesorregião Ocidental do Tocantins;Nova Olinda
TO;17;Mesorregião Ocidental do Tocantins;Palmeirante
TO;17;Mesorregião Ocidental do Tocantins;Pau-d'Arco
TO;17;Mesorregião Ocidental do Tocantins;Piraquê
TO;17;Mesorregião Ocidental do Tocantins;Santa Fé do Araguaia
TO;17;Mesorregião Ocidental do Tocantins;Wanderlândia
TO;17;Mesorregião Ocidental do Tocantins;Xambioá
TO;17;Mesorregião Ocidental do Tocantins;Abreulândia
TO;17;Mesorregião Ocidental do Tocantins;Araguacema
TO;17;Mesorregião Ocidental do Tocantins;Barrolândia
TO;17;Mesorregião Ocidental do Tocantins;Bernardo Sayão
TO;17;Mesorregião Ocidental do Tocantins;Brasilândia do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Caseara
TO;17;Mesorregião Ocidental do Tocantins;Colméia
TO;17;Mesorregião Ocidental do Tocantins;Couto de Magalhães
TO;17;Mesorregião Ocidental do Tocantins;Divinópolis do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Dois Irmãos do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Fortaleza do Tabocão
TO;17;Mesorregião Ocidental do Tocantins;Goianorte
TO;17;Mesorregião Ocidental do Tocantins;Guaraí
TO;17;Mesorregião Ocidental do Tocantins;Itaporã do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Juarina
TO;17;Mesorregião Ocidental do Tocantins;Marianópolis do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Miracema do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Miranorte
TO;17;Mesorregião Ocidental do Tocantins;Monte Santo do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Pequizeiro
TO;17;Mesorregião Ocidental do Tocantins;Presidente Kennedy
TO;17;Mesorregião Ocidental do Tocantins;Rio dos Bois
TO;17;Mesorregião Ocidental do Tocantins;Tupirama
TO;17;Mesorregião Ocidental do Tocantins;Tupiratins
TO;17;Mesorregião Ocidental do Tocantins;Araguaçu
TO;17;Mesorregião Ocidental do Tocantins;Chapada de Areia
TO;17;Mesorregião Ocidental do Tocantins;Cristalândia
TO;17;Mesorregião Ocidental do Tocantins;Dueré
TO;17;Mesorregião Ocidental do Tocantins;Fátima
TO;17;Mesorregião Ocidental do Tocantins;Formoso do Araguaia
TO;17;Mesorregião Ocidental do Tocantins;Lagoa da Confusão
TO;17;Mesorregião Ocidental do Tocantins;Nova Rosalândia
TO;17;Mesorregião Ocidental do Tocantins;Oliveira de Fátima
TO;17;Mesorregião Ocidental do Tocantins;Paraíso do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Pium
TO;17;Mesorregião Ocidental do Tocantins;Pugmil
TO;17;Mesorregião Ocidental do Tocantins;Sandolândia
TO;17;Mesorregião Ocidental do Tocantins;Aliança do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Alvorada
TO;17;Mesorregião Ocidental do Tocantins;Brejinho de Nazaré
TO;17;Mesorregião Ocidental do Tocantins;Cariri do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Crixás do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Figueirópolis
TO;17;Mesorregião Ocidental do Tocantins;Gurupi
TO;17;Mesorregião Ocidental do Tocantins;Jaú do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Palmeirópolis
TO;17;Mesorregião Ocidental do Tocantins;Peixe
TO;17;Mesorregião Ocidental do Tocantins;Santa Rita do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;São Salvador do Tocantins
TO;17;Mesorregião Ocidental do Tocantins;Sucupira
TO;17;Mesorregião Ocidental do Tocantins;Talismã
TO;17;Mesorregião Oriental do Tocantins;Aparecida do Rio Negro
TO;17;Mesorregião Oriental do Tocantins;Bom Jesus do Tocantins
TO;17;Mesorregião Oriental do Tocantins;Ipueiras
TO;17;Mesorregião Oriental do Tocantins;Lajeado
TO;17;Mesorregião Oriental do Tocantins;Monte do Carmo
TO;17;Mesorregião Oriental do Tocantins;Palmas
TO;17;Mesorregião Oriental do Tocantins;Pedro Afonso
TO;17;Mesorregião Oriental do Tocantins;Porto Nacional
TO;17;Mesorregião Oriental do Tocantins;Santa Maria do Tocantins
TO;17;Mesorregião Oriental do Tocantins;Silvanópolis
TO;17;Mesorregião Oriental do Tocantins;Tocantínia
TO;17;Mesorregião Oriental do Tocantins;Barra do Ouro
TO;17;Mesorregião Oriental do Tocantins;Campos Lindos
TO;17;Mesorregião Oriental do Tocantins;Centenário
TO;17;Mesorregião Oriental do Tocantins;Goiatins
TO;17;Mesorregião Oriental do Tocantins;Itacajá
TO;17;Mesorregião Oriental do Tocantins;Itapiratins
TO;17;Mesorregião Oriental do Tocantins;Lagoa do Tocantins
TO;17;Mesorregião Oriental do Tocantins;Lizarda
TO;17;Mesorregião Oriental do Tocantins;Mateiros
TO;17;Mesorregião Oriental do Tocantins;Novo Acordo
TO;17;Mesorregião Oriental do Tocantins;Ponte Alta do Tocantins
TO;17;Mesorregião Oriental do Tocantins;Recursolândia
TO;17;Mesorregião Oriental do Tocantins;Rio Sono
TO;17;Mesorregião Oriental do Tocantins;Santa Tereza do Tocantins
TO;17;Mesorregião Oriental do Tocantins;São Félix do Tocantins
TO;17;Mesorregião Oriental do Tocantins;Almas
TO;17;Mesorregião Oriental do Tocantins;Arraias
TO;17;Mesorregião Oriental do Tocantins;Aurora do Tocantins
TO;17;Mesorregião Oriental do Tocantins;Chapada da Natividade
TO;17;Mesorregião Oriental do Tocantins;Combinado
TO;17;Mesorregião Oriental do Tocantins;Conceição do Tocantins
TO;17;Mesorregião Oriental do Tocantins;Dianópolis
TO;17;Mesorregião Oriental do Tocantins;Lavandeira
TO;17;Mesorregião Oriental do Tocantins;Natividade
TO;17;Mesorregião Oriental do Tocantins;Novo Alegre
TO;17;Mesorregião Oriental do Tocantins;Novo Jardim
TO;17;Mesorregião Oriental do Tocantins;Paranã
TO;17;Mesorregião Oriental do Tocantins;Pindorama do Tocantins
TO;17;Mesorregião Oriental do Tocantins;Ponte Alta do Bom Jesus
TO;17;Mesorregião Oriental do Tocantins;Porto Alegre do Tocantins
TO;17;Mesorregião Oriental do Tocantins;Rio da Conceição
TO;17;Mesorregião Oriental do Tocantins;Santa Rosa do Tocantins
TO;17;Mesorregião Oriental do Tocantins;São Valério
TO;17;Mesorregião Oriental do Tocantins;Taguatinga
TO;17;Mesorregião Oriental do Tocantins;Taipas do Tocantins
