ufname;ufid;meso;citie
AC;12;Mesorregião do Vale do Juruá;Cruzeiro do Sul
AC;12;Mesorregião do Vale do Juruá;Mâncio Lima
AC;12;Mesorregião do Vale do Juruá;Marechal Thaumaturgo
AC;12;Mesorregião do Vale do Juruá;Porto Walter
AC;12;Mesorregião do Vale do Juruá;Rodrigues Alves
AC;12;Mesorregião do Vale do Juruá;Feijó
AC;12;Mesorregião do Vale do Juruá;Jordão
AC;12;Mesorregião do Vale do Juruá;Tarauacá
AC;12;Mesorregião do Vale do Acre;Manoel Urbano
AC;12;Mesorregião do Vale do Acre;Santa Rosa do Purus
AC;12;Mesorregião do Vale do Acre;Sena Madureira
AC;12;Mesorregião do Vale do Acre;Acrelândia
AC;12;Mesorregião do Vale do Acre;Bujari
AC;12;Mesorregião do Vale do Acre;Capixaba
AC;12;Mesorregião do Vale do Acre;Plácido de Castro
AC;12;Mesorregião do Vale do Acre;Porto Acre
AC;12;Mesorregião do Vale do Acre;Rio Branco
AC;12;Mesorregião do Vale do Acre;Senador Guiomard
AC;12;Mesorregião do Vale do Acre;Assis Brasil
AC;12;Mesorregião do Vale do Acre;Brasiléia
AC;12;Mesorregião do Vale do Acre;Epitaciolândia
AC;12;Mesorregião do Vale do Acre;Xapuri
AL;27;Mesorregião do Sertão Alagoano;Água Branca
AL;27;Mesorregião do Sertão Alagoano;Canapi
AL;27;Mesorregião do Sertão Alagoano;Inhapi
AL;27;Mesorregião do Sertão Alagoano;Mata Grande
AL;27;Mesorregião do Sertão Alagoano;Pariconha
AL;27;Mesorregião do Sertão Alagoano;Delmiro Gouveia
AL;27;Mesorregião do Sertão Alagoano;Olho d'Água do Casado
AL;27;Mesorregião do Sertão Alagoano;Piranhas
AL;27;Mesorregião do Sertão Alagoano;Carneiros
AL;27;Mesorregião do Sertão Alagoano;Dois Riachos
AL;27;Mesorregião do Sertão Alagoano;Maravilha
AL;27;Mesorregião do Sertão Alagoano;Ouro Branco
AL;27;Mesorregião do Sertão Alagoano;Palestina
AL;27;Mesorregião do Sertão Alagoano;Pão de Açúcar
AL;27;Mesorregião do Sertão Alagoano;Poço das Trincheiras
AL;27;Mesorregião do Sertão Alagoano;Santana do Ipanema
AL;27;Mesorregião do Sertão Alagoano;São José da Tapera
AL;27;Mesorregião do Sertão Alagoano;Senador Rui Palmeira
AL;27;Mesorregião do Sertão Alagoano;Batalha
AL;27;Mesorregião do Sertão Alagoano;Belo Monte
AL;27;Mesorregião do Sertão Alagoano;Jacaré dos Homens
AL;27;Mesorregião do Sertão Alagoano;Jaramataia
AL;27;Mesorregião do Sertão Alagoano;Major Izidoro
